kbmemfree,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,197404.0,198692.0,195784.0,197548.0,198336.0,195380.0,195588.0,197432.0,195008.0,195028.0,198180.0,195760.0,198920.0,195472.0,195216.0,199012.0,196268.0,194876.0,196116.0,197396.0,194848.0,196312.0,197412.0,198976.0,200016.0,195992.0,199580.0,196584.0,196844.0,196708.0,195236.0,194400.0,196932.0,195784.0,196364.0,197820.0,196404.0,199264.0,199156.0,196004.0,199052.0,199528.0,195740.0,198852.0,199548.0,196076.0,199272.0,197400.0,195844.0,206204.0,199096.0,199556.0,195296.0,194508.0,198640.0,199476.0,197756.0,195436.0,194232.0,196224.0,197752.0,196132.0,194760.0,198628.0,198208.0,199668.0,195892.0,195648.0,198700.0,194700.0,198608.0,197000.0,198280.0,194672.0,195968.0,200732.0,198536.0,196756.0,197724.0,196136.0,197832.0,196776.0,200948.0,195332.0,200152.0,199624.0,197220.0,194936.0,197644.0,198908.0,194500.0,197600.0,196440.0,196412.0,194884.0,196832.0,196968.0,196328.0,201016.0,196296.0,196648.0,195620.0,199912.0,196248.0,196132.0,197056.0,196020.0,199132.0,196824.0,194476.0,196000.0,198188.0,197684.0,196064.0,201372.0,196660.0,194428.0,196600.0,213024.0,198952.0,199068.0,212104.0,197048.0,196224.0,199560.0,196132.0,199136.0,197200.0,195800.0,198748.0,199144.0,198288.0,196068.0,196448.0,196392.0,199692.0,195676.0,196872.0,196664.0,195744.0
1,197420.0,198692.0,195784.0,197548.0,198336.0,195380.0,195588.0,197432.0,195008.0,195028.0,198180.0,195760.0,198920.0,195472.0,195216.0,199012.0,196268.0,194876.0,196116.0,197396.0,194848.0,196312.0,197412.0,198976.0,200016.0,195992.0,199580.0,196584.0,196844.0,196708.0,195236.0,194408.0,196932.0,195784.0,196364.0,197820.0,196404.0,199264.0,199156.0,196004.0,198952.0,199528.0,195740.0,198852.0,199548.0,196076.0,199272.0,197400.0,195844.0,206204.0,199096.0,199556.0,195296.0,194508.0,198640.0,199476.0,197756.0,195436.0,194232.0,196224.0,197504.0,196132.0,194760.0,198628.0,198208.0,199668.0,195892.0,195648.0,198708.0,194576.0,198608.0,197000.0,198280.0,194548.0,195968.0,200732.0,198560.0,196756.0,197724.0,196136.0,197832.0,196776.0,201112.0,195332.0,200152.0,199624.0,197220.0,194936.0,197644.0,198908.0,194500.0,197600.0,196696.0,196412.0,194884.0,196832.0,196968.0,196328.0,201016.0,196296.0,196648.0,195620.0,199912.0,196264.0,196132.0,197080.0,196020.0,199156.0,196824.0,194476.0,196008.0,198188.0,197684.0,196064.0,201372.0,196660.0,194428.0,196476.0,213024.0,198952.0,199068.0,212104.0,197048.0,196224.0,199560.0,196132.0,199136.0,197200.0,195800.0,198748.0,199144.0,198544.0,196076.0,196448.0,196392.0,199692.0,195676.0,196748.0,196664.0,195744.0
2,197420.0,198692.0,195784.0,197548.0,198336.0,195380.0,195588.0,197432.0,195008.0,195028.0,198180.0,195760.0,198920.0,195472.0,195216.0,199012.0,196268.0,194876.0,196116.0,197396.0,194848.0,196312.0,197412.0,198976.0,200016.0,195992.0,199580.0,196584.0,196844.0,196708.0,195236.0,194408.0,196932.0,195784.0,196364.0,197820.0,196404.0,199264.0,199156.0,196004.0,198952.0,199528.0,195740.0,198852.0,199548.0,196076.0,199272.0,197400.0,195844.0,206204.0,199096.0,199556.0,195296.0,194508.0,198640.0,199476.0,197756.0,195436.0,194232.0,196224.0,197760.0,196132.0,194760.0,198628.0,198208.0,199668.0,195892.0,195648.0,198708.0,194584.0,198608.0,197000.0,198156.0,194548.0,195968.0,200732.0,198560.0,196756.0,197724.0,196136.0,197832.0,196776.0,201112.0,195332.0,200152.0,199624.0,197220.0,194936.0,197776.0,198908.0,194500.0,197600.0,196696.0,196412.0,194884.0,196832.0,196968.0,196328.0,201016.0,196296.0,196648.0,195620.0,199912.0,196264.0,196132.0,197080.0,196020.0,199156.0,196824.0,194476.0,196008.0,198188.0,197684.0,196064.0,201372.0,196660.0,194428.0,196476.0,212908.0,198952.0,199068.0,212104.0,197048.0,196224.0,199560.0,196132.0,199136.0,197200.0,195800.0,198748.0,199144.0,198544.0,196076.0,196448.0,196392.0,199692.0,195676.0,196748.0,196664.0,195744.0
3,197420.0,198692.0,195784.0,197548.0,198336.0,195380.0,195588.0,197432.0,195008.0,195028.0,198180.0,195760.0,198796.0,195472.0,195216.0,199012.0,196268.0,194876.0,196116.0,197396.0,194848.0,196312.0,197412.0,198976.0,200016.0,195992.0,199580.0,196584.0,196844.0,196708.0,195236.0,194408.0,196932.0,195784.0,196364.0,197820.0,196404.0,199264.0,199156.0,196004.0,198952.0,197672.0,195740.0,198852.0,199556.0,196076.0,199272.0,197400.0,195844.0,206204.0,199096.0,196292.0,191412.0,194508.0,198640.0,199476.0,197756.0,195436.0,194232.0,196224.0,197760.0,196132.0,194760.0,198628.0,198208.0,199668.0,195892.0,195648.0,198708.0,194584.0,198608.0,197000.0,198156.0,194548.0,195968.0,200732.0,198560.0,196756.0,197724.0,196136.0,197832.0,196776.0,201112.0,195332.0,200152.0,199624.0,197220.0,194936.0,197776.0,198908.0,194500.0,197600.0,196696.0,196412.0,194884.0,196832.0,196968.0,196328.0,201016.0,196296.0,196648.0,195620.0,199912.0,196264.0,196132.0,197080.0,196020.0,199156.0,196824.0,194476.0,196008.0,198188.0,197692.0,195948.0,201372.0,196660.0,194428.0,196600.0,212908.0,198836.0,199068.0,212104.0,197048.0,196224.0,199560.0,196132.0,199136.0,197200.0,195800.0,198748.0,199144.0,198544.0,196076.0,196448.0,196392.0,199692.0,195676.0,196748.0,196664.0,195744.0
4,197420.0,198692.0,195784.0,197548.0,198336.0,195380.0,195588.0,197432.0,195008.0,195036.0,198180.0,195760.0,198804.0,195472.0,195216.0,199012.0,196268.0,194876.0,196116.0,197396.0,194848.0,196312.0,197412.0,198976.0,200016.0,195992.0,199580.0,196584.0,196844.0,196708.0,195236.0,194408.0,196932.0,195784.0,196364.0,197820.0,196404.0,199264.0,199156.0,196004.0,198952.0,199280.0,195740.0,198852.0,199556.0,196076.0,199272.0,197400.0,195844.0,206204.0,199096.0,199464.0,195164.0,194508.0,198640.0,199476.0,197756.0,195436.0,194232.0,196224.0,197760.0,196132.0,194760.0,198628.0,198208.0,199668.0,195892.0,195648.0,198708.0,194584.0,198608.0,197000.0,198280.0,194548.0,195968.0,200732.0,198560.0,196756.0,197724.0,196136.0,197832.0,196776.0,201112.0,195332.0,200152.0,199624.0,197220.0,194936.0,197776.0,198908.0,194500.0,197600.0,196696.0,196412.0,194884.0,196832.0,196968.0,196328.0,201016.0,196296.0,196648.0,195620.0,199912.0,196264.0,196132.0,197080.0,196020.0,199156.0,196824.0,194476.0,196008.0,196364.0,197692.0,195948.0,201372.0,196660.0,194428.0,196608.0,212908.0,198836.0,199068.0,210972.0,195916.0,196224.0,199560.0,196132.0,199004.0,197200.0,195800.0,198616.0,198508.0,198544.0,196076.0,196448.0,196392.0,199692.0,195676.0,196748.0,196664.0,195744.0
5,197420.0,198692.0,195784.0,197548.0,198336.0,195380.0,195588.0,197432.0,195008.0,195036.0,198180.0,195504.0,198804.0,191216.0,195216.0,199012.0,196268.0,194876.0,196116.0,197396.0,194848.0,196312.0,197412.0,192240.0,200016.0,195992.0,199580.0,194808.0,184116.0,196708.0,195236.0,194408.0,196932.0,195784.0,196364.0,197820.0,196404.0,199264.0,199156.0,196004.0,198952.0,199280.0,195740.0,198852.0,199556.0,196076.0,199272.0,197400.0,195844.0,206204.0,199096.0,199464.0,195032.0,194508.0,198640.0,199476.0,197756.0,195436.0,194232.0,196224.0,197760.0,196132.0,194760.0,198628.0,198208.0,199668.0,195892.0,195648.0,198708.0,194584.0,198608.0,197000.0,198288.0,194548.0,195968.0,200732.0,198560.0,196756.0,197724.0,196136.0,197832.0,196776.0,201112.0,195332.0,200152.0,199624.0,197220.0,194936.0,197776.0,198908.0,194500.0,197600.0,196572.0,196412.0,194884.0,196832.0,196968.0,196328.0,201016.0,196296.0,196648.0,195620.0,199912.0,196264.0,196132.0,197080.0,196020.0,199156.0,196824.0,194476.0,196008.0,197940.0,197692.0,195948.0,201372.0,195000.0,194428.0,195584.0,211900.0,198836.0,199068.0,212004.0,196800.0,196224.0,199560.0,195952.0,198864.0,197068.0,195668.0,198608.0,197468.0,198544.0,196076.0,196448.0,196392.0,199692.0,195676.0,196748.0,196664.0,195744.0
6,197420.0,198692.0,195784.0,197548.0,198336.0,195380.0,195588.0,197432.0,195008.0,195036.0,198180.0,195636.0,197152.0,195324.0,195216.0,197336.0,196268.0,194876.0,196116.0,197396.0,194848.0,196312.0,197412.0,198704.0,200016.0,195992.0,186884.0,195288.0,194888.0,196708.0,195236.0,194408.0,196808.0,195536.0,195076.0,196036.0,196156.0,199140.0,199156.0,196004.0,198952.0,197728.0,195740.0,198852.0,199424.0,194284.0,199272.0,197400.0,195844.0,206204.0,199096.0,198952.0,193520.0,194508.0,193360.0,199476.0,197756.0,195436.0,194232.0,196224.0,197760.0,196132.0,194760.0,198628.0,198208.0,199668.0,195892.0,195648.0,198708.0,194584.0,198608.0,197000.0,198288.0,194548.0,195968.0,200732.0,198560.0,196756.0,197724.0,196136.0,197832.0,196776.0,201112.0,195332.0,200152.0,199624.0,197220.0,194936.0,197776.0,198148.0,194500.0,197600.0,196572.0,196412.0,194884.0,196832.0,196968.0,196328.0,201016.0,196296.0,196648.0,195620.0,199912.0,196264.0,196132.0,197080.0,196020.0,199156.0,196824.0,194476.0,196008.0,197940.0,197692.0,195948.0,200488.0,196536.0,194048.0,184664.0,211456.0,198836.0,199068.0,212012.0,196800.0,196224.0,199560.0,195976.0,198896.0,196928.0,194668.0,186176.0,199044.0,198544.0,195696.0,196448.0,196392.0,199692.0,195676.0,196748.0,196664.0,195744.0
7,197420.0,198452.0,193984.0,184976.0,186640.0,195076.0,195292.0,197184.0,194728.0,193196.0,196520.0,195636.0,198680.0,195224.0,190960.0,198832.0,196012.0,190464.0,194308.0,195704.0,193016.0,183616.0,195612.0,198728.0,194644.0,190836.0,199300.0,196288.0,196556.0,191336.0,193460.0,192592.0,196808.0,195536.0,196060.0,197728.0,196156.0,199140.0,198884.0,183308.0,198952.0,199248.0,191980.0,194472.0,199400.0,195828.0,199272.0,195584.0,190844.0,204380.0,193228.0,199284.0,195024.0,193872.0,185912.0,198716.0,196996.0,195436.0,194232.0,196224.0,197760.0,195372.0,194000.0,198628.0,198208.0,199668.0,195256.0,194888.0,198072.0,194584.0,197972.0,197000.0,198288.0,194548.0,195968.0,200732.0,198560.0,196544.0,197632.0,195988.0,197584.0,186568.0,191028.0,185992.0,192424.0,198864.0,195956.0,194176.0,197140.0,198628.0,194500.0,197600.0,196572.0,196412.0,194884.0,196832.0,196968.0,196328.0,200892.0,196296.0,196648.0,195620.0,199912.0,196264.0,196132.0,197080.0,196020.0,199156.0,196824.0,194476.0,196008.0,185460.0,185120.0,194488.0,201108.0,196536.0,194280.0,196540.0,212940.0,198836.0,197804.0,199440.0,190032.0,195092.0,199560.0,183528.0,198920.0,196976.0,195552.0,198624.0,198996.0,197140.0,194400.0,196192.0,196392.0,197884.0,195436.0,196748.0,196540.0,194604.0
8,197116.0,198476.0,195536.0,197300.0,198056.0,195100.0,195308.0,197184.0,194728.0,194912.0,198112.0,195636.0,197252.0,195224.0,195108.0,197304.0,196020.0,194556.0,195868.0,197116.0,194568.0,196032.0,197164.0,191000.0,199736.0,195680.0,199316.0,194792.0,194864.0,194792.0,195112.0,194316.0,196808.0,195536.0,196084.0,197728.0,196156.0,199140.0,198908.0,195708.0,192216.0,199248.0,195368.0,198556.0,199400.0,195828.0,197464.0,197152.0,195564.0,205956.0,198864.0,199308.0,195048.0,194204.0,198236.0,199228.0,197540.0,195196.0,193952.0,195976.0,197512.0,195852.0,194572.0,198332.0,198116.0,199420.0,195660.0,195492.0,198584.0,194368.0,198516.0,196752.0,198164.0,193788.0,195752.0,200608.0,198420.0,196568.0,197632.0,196012.0,197584.0,196496.0,200832.0,195208.0,199936.0,199312.0,197004.0,194720.0,197684.0,198628.0,194252.0,197444.0,196416.0,196164.0,194668.0,196708.0,196744.0,196212.0,200892.0,196148.0,196400.0,195528.0,199788.0,195992.0,196032.0,196900.0,195920.0,198884.0,196576.0,193996.0,195860.0,197908.0,197520.0,183408.0,201124.0,185708.0,194328.0,196516.0,212816.0,198688.0,198820.0,211856.0,196768.0,196108.0,199312.0,195952.0,198920.0,196984.0,195528.0,198624.0,199020.0,196728.0,195952.0,196356.0,194592.0,199536.0,195460.0,195096.0,196540.0,195596.0
9,197140.0,198476.0,195536.0,197300.0,198056.0,195100.0,195308.0,197184.0,194728.0,194912.0,198032.0,195636.0,198680.0,195224.0,193968.0,198764.0,196020.0,194564.0,195868.0,193976.0,194568.0,193016.0,197164.0,198728.0,199736.0,195680.0,197648.0,196320.0,196408.0,196404.0,195112.0,194316.0,196716.0,195512.0,195936.0,197548.0,196132.0,199172.0,198908.0,195724.0,198828.0,199248.0,195624.0,198572.0,199400.0,195828.0,199024.0,197152.0,195564.0,205956.0,198880.0,199308.0,195048.0,194228.0,196816.0,199228.0,197540.0,195220.0,193952.0,195976.0,197512.0,195852.0,194572.0,198348.0,198116.0,199420.0,195660.0,195492.0,198584.0,194368.0,198516.0,196752.0,198164.0,194456.0,195752.0,200608.0,198436.0,196568.0,197632.0,196012.0,197584.0,196496.0,200832.0,195208.0,199936.0,199312.0,197004.0,194720.0,197684.0,198628.0,194252.0,197444.0,196416.0,196164.0,194668.0,196708.0,196752.0,196220.0,200892.0,196172.0,196400.0,195528.0,199788.0,196016.0,196040.0,196924.0,195928.0,198908.0,196576.0,194252.0,195884.0,197908.0,197520.0,195800.0,201124.0,196412.0,194212.0,196516.0,212816.0,198712.0,198820.0,211856.0,196768.0,196132.0,199296.0,195976.0,198920.0,196984.0,195552.0,198624.0,199020.0,198256.0,195952.0,196380.0,196120.0,199536.0,194948.0,196608.0,196540.0,195644.0
10,197140.0,193104.0,189048.0,192424.0,193676.0,182528.0,181480.0,184736.0,181908.0,188300.0,198056.0,195636.0,198556.0,195224.0,195124.0,198764.0,196004.0,194540.0,186032.0,195736.0,188080.0,194636.0,188196.0,198604.0,190520.0,186216.0,199160.0,196320.0,196408.0,196312.0,182664.0,187704.0,196716.0,195536.0,195960.0,197572.0,196032.0,199048.0,191396.0,195756.0,198828.0,199248.0,194988.0,198604.0,199400.0,195704.0,199024.0,190632.0,189108.0,205956.0,197320.0,199308.0,195048.0,193716.0,198352.0,198592.0,197028.0,194708.0,193952.0,195976.0,197512.0,195852.0,194572.0,198348.0,198116.0,199420.0,195660.0,195492.0,198584.0,194368.0,198516.0,196752.0,198164.0,194456.0,195752.0,200608.0,198436.0,196524.0,197452.0,195888.0,197536.0,196496.0,200832.0,195084.0,199936.0,199312.0,196972.0,194688.0,197496.0,198628.0,194284.0,197320.0,196416.0,196164.0,194668.0,196568.0,196720.0,196088.0,200892.0,196172.0,196376.0,195372.0,199664.0,195992.0,195892.0,196900.0,195780.0,198876.0,196552.0,194196.0,195844.0,197908.0,187312.0,195856.0,201092.0,196412.0,194212.0,196516.0,212816.0,198712.0,198820.0,211856.0,196768.0,195952.0,199312.0,195976.0,198920.0,196984.0,195552.0,198624.0,199020.0,198272.0,195828.0,196388.0,188788.0,199412.0,195428.0,196624.0,196540.0,195528.0
11,191520.0,198444.0,195536.0,197332.0,198056.0,194960.0,195292.0,197184.0,194588.0,194820.0,198056.0,195636.0,198556.0,195224.0,195124.0,198764.0,196020.0,194564.0,195612.0,197000.0,194568.0,195924.0,195388.0,198604.0,198084.0,193904.0,199160.0,196320.0,196408.0,196336.0,195020.0,194160.0,196716.0,195536.0,195960.0,197572.0,196032.0,199048.0,198776.0,195756.0,191348.0,199248.0,195468.0,198604.0,199400.0,195704.0,192536.0,197152.0,194416.0,205832.0,198792.0,199308.0,195048.0,194228.0,198368.0,199260.0,197448.0,195220.0,193952.0,195884.0,197512.0,195852.0,194448.0,198380.0,197960.0,199420.0,195692.0,195400.0,198492.0,194336.0,198392.0,196752.0,198040.0,193820.0,195688.0,200484.0,198296.0,196540.0,197476.0,195888.0,197552.0,196496.0,200832.0,195084.0,199936.0,199312.0,196972.0,194688.0,197496.0,198628.0,194284.0,197320.0,196416.0,196164.0,194668.0,196584.0,196720.0,196096.0,200892.0,196048.0,196400.0,195372.0,199664.0,196016.0,195916.0,196800.0,195804.0,198876.0,196576.0,194220.0,195744.0,197908.0,197396.0,195856.0,201092.0,196412.0,194212.0,196516.0,212816.0,198712.0,198820.0,211856.0,196768.0,195976.0,199312.0,195976.0,198920.0,196984.0,195552.0,198624.0,199020.0,198296.0,195828.0,196388.0,196112.0,199412.0,195428.0,196624.0,196540.0,195528.0
12,197048.0,198444.0,195536.0,197332.0,198056.0,194960.0,195292.0,197184.0,194588.0,194820.0,198056.0,195636.0,198556.0,195224.0,195124.0,198764.0,196020.0,194564.0,195736.0,197024.0,194568.0,195940.0,196976.0,198604.0,199768.0,195532.0,199160.0,196320.0,196408.0,196336.0,195020.0,194160.0,196716.0,195536.0,195960.0,197572.0,196032.0,199048.0,198784.0,195756.0,197672.0,199248.0,195468.0,198604.0,199400.0,195704.0,198992.0,197152.0,195564.0,205832.0,198816.0,199308.0,186576.0,194228.0,198368.0,199260.0,197448.0,195220.0,193952.0,195884.0,197512.0,195852.0,194448.0,198380.0,197960.0,199420.0,195692.0,195400.0,198492.0,194336.0,198392.0,196752.0,198040.0,194424.0,195688.0,200484.0,198312.0,196540.0,197476.0,195888.0,197552.0,196496.0,200832.0,195084.0,199936.0,199312.0,196972.0,194688.0,197496.0,198628.0,194284.0,197320.0,196416.0,196164.0,194668.0,196584.0,196720.0,196096.0,200892.0,196048.0,196400.0,195372.0,199664.0,196016.0,195916.0,196800.0,195804.0,198876.0,196576.0,194220.0,195744.0,197908.0,197396.0,195856.0,201092.0,196412.0,194212.0,196516.0,212816.0,198712.0,198820.0,211856.0,196768.0,195976.0,199312.0,195976.0,198920.0,196984.0,195552.0,198624.0,199020.0,198296.0,195828.0,196388.0,196112.0,199412.0,195428.0,196624.0,196540.0,195528.0
13,197048.0,198444.0,195536.0,197332.0,198056.0,194960.0,195292.0,197184.0,194588.0,194820.0,198056.0,195636.0,198556.0,195224.0,195124.0,198764.0,196020.0,194564.0,195744.0,197024.0,194568.0,195940.0,196992.0,198604.0,199768.0,195556.0,199160.0,196320.0,196408.0,196336.0,195020.0,194160.0,196716.0,195536.0,195960.0,197572.0,196032.0,199048.0,198784.0,195756.0,198672.0,199248.0,195468.0,198604.0,199400.0,195704.0,198992.0,197152.0,195564.0,205832.0,198816.0,199308.0,194900.0,194228.0,198368.0,199260.0,197448.0,195220.0,193952.0,195884.0,197512.0,195852.0,194448.0,198380.0,197960.0,199420.0,195692.0,195400.0,198492.0,194336.0,198392.0,196752.0,198040.0,194424.0,195688.0,200484.0,198312.0,196540.0,197476.0,195888.0,197552.0,196496.0,200832.0,195084.0,199936.0,199312.0,196972.0,194688.0,197496.0,198628.0,194284.0,197320.0,196416.0,196164.0,194668.0,196584.0,196720.0,196096.0,200892.0,196048.0,196400.0,195372.0,199664.0,196016.0,195916.0,196800.0,195804.0,198876.0,196576.0,194220.0,195744.0,197908.0,197396.0,195856.0,201092.0,196412.0,194212.0,196516.0,212816.0,198712.0,198820.0,211856.0,196768.0,195976.0,199312.0,195976.0,198920.0,196984.0,195552.0,198624.0,199020.0,198296.0,195828.0,196388.0,196112.0,199412.0,195428.0,196624.0,196540.0,195528.0
14,197048.0,198444.0,195536.0,197332.0,198056.0,194960.0,195292.0,197184.0,194588.0,194820.0,198056.0,195636.0,198556.0,195224.0,195124.0,198764.0,196020.0,194564.0,195744.0,197024.0,194568.0,195940.0,196992.0,198556.0,199768.0,195556.0,199160.0,196320.0,195276.0,196336.0,195020.0,194160.0,196716.0,195536.0,195960.0,197572.0,196032.0,199048.0,198784.0,195756.0,198672.0,199032.0,195468.0,198604.0,199400.0,195704.0,198992.0,197152.0,195564.0,205832.0,198816.0,198300.0,194924.0,194228.0,198368.0,199260.0,197448.0,195220.0,193952.0,195884.0,197512.0,195852.0,194448.0,198380.0,197960.0,199420.0,195692.0,195400.0,198492.0,194336.0,198392.0,196752.0,198040.0,194424.0,195688.0,200484.0,198312.0,196540.0,197476.0,195888.0,197552.0,196496.0,200832.0,195084.0,199936.0,199312.0,196972.0,194688.0,197496.0,198628.0,194284.0,197320.0,196416.0,196164.0,194668.0,196584.0,196720.0,196096.0,200892.0,196048.0,196400.0,195372.0,199664.0,196016.0,195916.0,196800.0,195804.0,198876.0,196576.0,194220.0,195744.0,197908.0,197396.0,195856.0,201092.0,196412.0,194212.0,196516.0,212816.0,198712.0,198820.0,211856.0,196768.0,195976.0,199312.0,195976.0,197664.0,196984.0,195552.0,197120.0,199020.0,198296.0,195828.0,196388.0,196112.0,199412.0,195428.0,196624.0,196540.0,195528.0
15,197048.0,198444.0,195536.0,197332.0,198056.0,194960.0,195292.0,197184.0,194588.0,194820.0,198056.0,195504.0,198556.0,195092.0,195124.0,198764.0,196020.0,194564.0,195744.0,197024.0,194568.0,195940.0,196992.0,198572.0,199768.0,195556.0,199160.0,195188.0,196260.0,196336.0,195020.0,194160.0,196716.0,195536.0,195960.0,197572.0,196032.0,199048.0,198784.0,195756.0,198672.0,199032.0,195468.0,198604.0,186828.0,195704.0,198992.0,197152.0,195564.0,205832.0,198816.0,199192.0,194924.0,194228.0,197236.0,199260.0,197448.0,195220.0,193952.0,195884.0,197512.0,195852.0,194448.0,198380.0,197960.0,199420.0,195692.0,195400.0,198492.0,194336.0,198392.0,196752.0,198040.0,194424.0,195688.0,200484.0,198312.0,196540.0,197476.0,195888.0,197552.0,196496.0,200832.0,195084.0,199936.0,199312.0,196972.0,194688.0,197496.0,198628.0,194284.0,197320.0,196416.0,196164.0,194668.0,196584.0,196720.0,196096.0,200892.0,196048.0,196400.0,195372.0,199664.0,196016.0,195916.0,196800.0,195804.0,198876.0,196576.0,194220.0,195744.0,197636.0,197396.0,195856.0,201092.0,196412.0,194212.0,196516.0,212816.0,198712.0,198820.0,199284.0,195504.0,195976.0,199312.0,194004.0,198616.0,195604.0,195552.0,196816.0,197516.0,198296.0,195828.0,196388.0,196112.0,199412.0,195428.0,196624.0,196540.0,195528.0
16,197048.0,198444.0,195536.0,197332.0,198056.0,194960.0,195292.0,197184.0,194588.0,194820.0,198056.0,195388.0,197920.0,187868.0,195124.0,198764.0,196020.0,190060.0,195744.0,197024.0,194568.0,195940.0,196992.0,198572.0,199768.0,195556.0,198028.0,196140.0,196284.0,196336.0,195020.0,194160.0,184144.0,182808.0,183388.0,197572.0,196032.0,186476.0,198784.0,195756.0,198672.0,199032.0,195468.0,198604.0,199276.0,183132.0,198992.0,197152.0,195564.0,205832.0,198816.0,199216.0,194924.0,194228.0,198220.0,199260.0,197448.0,195220.0,193952.0,195884.0,197512.0,195852.0,194448.0,198380.0,197960.0,199420.0,195692.0,195400.0,198492.0,194336.0,198392.0,196752.0,198040.0,194424.0,195688.0,200484.0,198312.0,196540.0,197476.0,195888.0,197552.0,196496.0,200832.0,195084.0,199936.0,199312.0,196972.0,194688.0,197496.0,198628.0,194284.0,197320.0,196416.0,196164.0,194668.0,196584.0,196720.0,196096.0,200892.0,196048.0,196400.0,195372.0,199664.0,196016.0,195916.0,196800.0,195804.0,198876.0,196576.0,194220.0,195744.0,197660.0,197396.0,195856.0,201092.0,196140.0,192636.0,182332.0,211560.0,198712.0,198820.0,211592.0,196552.0,195976.0,199312.0,195736.0,198640.0,196704.0,194172.0,198352.0,198748.0,198296.0,195828.0,196388.0,196112.0,199412.0,195428.0,196624.0,192036.0,195528.0
17,197048.0,198444.0,195536.0,197332.0,198056.0,194960.0,195292.0,197184.0,194588.0,194820.0,197420.0,195388.0,194176.0,195100.0,194488.0,196492.0,183448.0,185968.0,195488.0,195892.0,194568.0,183492.0,196992.0,198572.0,199768.0,195556.0,199068.0,196164.0,196284.0,195204.0,195020.0,194160.0,196544.0,195256.0,195812.0,197424.0,195908.0,198868.0,198784.0,191500.0,198672.0,199032.0,195468.0,185908.0,199276.0,195564.0,198992.0,197152.0,195456.0,193260.0,197140.0,199216.0,194924.0,194228.0,198244.0,199260.0,197448.0,195220.0,193952.0,195884.0,197512.0,195852.0,194448.0,198380.0,197960.0,199420.0,195692.0,195400.0,198492.0,194336.0,198392.0,196752.0,198040.0,194424.0,195688.0,200484.0,198312.0,196540.0,197476.0,195888.0,197552.0,196496.0,200832.0,195084.0,199936.0,199312.0,196972.0,194688.0,197496.0,188544.0,194284.0,197320.0,196416.0,196164.0,194668.0,196584.0,196720.0,196096.0,200132.0,196048.0,196400.0,195372.0,199664.0,196016.0,195916.0,196800.0,195804.0,198876.0,196576.0,194220.0,195744.0,197660.0,197396.0,195856.0,188396.0,196164.0,193908.0,196268.0,212536.0,198712.0,198820.0,211592.0,196552.0,195976.0,186616.0,195760.0,198640.0,196704.0,195280.0,198376.0,198772.0,198296.0,195820.0,196256.0,196112.0,199412.0,195428.0,196624.0,196276.0,194388.0
