op_wip,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
2,2,1,1,1,0,2,2,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,3,1,1,1,0,1,0,1,2,0,1,1,0,1,1,1,0
3,1,1,2,2,0,0,0,1,0,1,1,1,0,1,3,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0
4,1,0,2,1,1,0,1,0,0,2,0,0,1,1,1,0,1,2,1,0,6,1,1,1,1,0,1,1,5,1,0,0,1,0,1,0,1,1,2,0
5,1,1,1,1,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3,1,1,1,0,0,0,0,5,1,1,0
6,1,1,1,1,1,0,1,1,1,4,1,0,2,0,1,0,0,0,0,0,3,1,0,1,1,6,0,0,3,1,0,0,0,0,0,1,0,1,0,0
7,1,0,0,0,0,0,0,0,0,4,1,1,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,3,0,0,1,0,1,0,1,0,1,5,1
8,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
9,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,7,0,0,0,0,0,0,0,1,0,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
12,7,0,0,0,0,0,0,0,1,0,4,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
13,7,0,0,0,0,0,0,0,1,0,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
14,7,0,0,0,0,0,0,0,1,0,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
15,7,0,0,0,0,1,0,0,1,0,4,1,6,1,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,1,0,0
16,2,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,6,1,0,0,0,0,0,1,1,1,1,0
