%usr,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,18.81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.98,1.01,1.01,1.01,0.0,0.0,2.0,1.0,0.0,1.32,1.15,1.01,2.94,1.56,0.99,0.0,0.0,0.98,1.98,0.99,13.0,1.0,1.01,1.0,0.0,0.99,2.7,2.78,2.78,0.0,0.0,22.55,1.0,1.01,0.99,1.35,2.15,17.0,0.0,1.09,1.01,1.0,0.0,1.0,0.0,8.82,1.01,0.99,0.0,0.0,0.99,1.01,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.99,2.0,0.0,0.0,0.0,12.0,0.0,1.0,14.14,0.0,0.0,0.99,0.0,1.01,1.98,0.99,1.98,0.99,1.0,0.0,2.0,0.0,2.97,2.02,6.06,7.07,4.04,3.06,12.0,12.0,0.0,11.22,13.0,10.0,10.1,11.0,13.13,13.0,10.1,13.86,10.0,8.08,8.0,0.99,2.13,1.0,0.0,0.97,13.27,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.98,45.95,1.11,33.33,18.52,2.11,2.97,0.0,0.0,1.02
1,0.99,1.0,0.98,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,1.08,2.63,2.27,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.99,0.99,0.0,0.0,0.0,1.0,1.02,1.32,1.03,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.59,2.78,2.86,1.01,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,1.01,0.0,1.0,0.0,0.0,1.01,0.0,1.0,0.99,0.0,0.0,0.0,1.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.99,0.0,1.0,0.0,1.01,0.0,1.15,0.0,1.0,0.99,0.99,0.0,2.17,0.0,1.0,1.0,1.0,0.99,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.99,1.98,1.0,0.0,2.0
2,0.0,0.0,0.0,0.98,1.01,1.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.98,1.0,1.0,1.01,1.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.99,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.01,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.96,0.0,0.0,0.0,0.99,0.0,1.01,0.0,0.99,0.0,2.0,1.0,1.0,0.99,0.0,1.0,1.01,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.98,0.0,0.99,0.97,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,1.0,1.0,1.0,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.0,1.0,23.53,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.01,8.79,7.53,0.99,1.01,0.0,0.0,1.0,0.0,0.0,0.0,1.98,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.01,1.0,0.97,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.99,1.0,0.0,1.0,0.0,0.0,1.98,0.0,0.0,0.0,0.99,0.0,0.0,0.99,0.0,0.99,0.0,1.0,0.0,0.0,1.0,1.01,1.01,0.0,0.0,0.0,0.0,0.99,1.0,0.0,1.01,0.0,0.0,0.99,0.0,1.01,0.0,1.0,1.0,0.0,0.0,1.01,0.0,0.99,1.0,0.99,1.0,0.0,0.99,1.01,0.99,0.0,0.99
4,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,1.0,0.99,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,1.0,0.0,1.0,1.01,1.98,0.99,1.0,0.99,0.98,1.0,1.0,1.0,0.99,0.0,0.0,0.99,2.97,0.0,0.99,0.0,0.0,0.0,1.01,0.0,1.0,0.99,17.5,45.45,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0.98,0.0,0.0,0.99,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.98,1.0,1.0,1.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.99,1.01,1.0,0.99,0.99,0.0,0.0,1.01,0.0,1.0,0.0,1.01,0.0,0.0,0.99,14.29,1.0,0.99,0.97,0.98,0.98,0.0,0.0,1.0,0.0,1.12,0.0,1.0,0.99,1.19,2.3,0.0,1.0,1.09,1.08,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.0,0.0
5,0.0,0.99,1.0,0.0,0.0,0.98,0.99,0.0,0.0,0.0,0.0,4.35,1.0,4.69,0.0,0.0,0.0,0.0,0.99,1.0,0.0,0.0,0.99,16.07,2.0,0.0,0.0,25.0,21.88,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.96,0.99,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,1.0,1.0,0.0,0.99,0.0,0.0,1.0,0.0,1.0,1.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.99,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.38,0.0,1.01,1.0,12.12,0.0,3.41,1.28,0.0,1.0,14.12,14.12,0.0,0.0,18.31,12.24,1.15,1.1,15.05,52.38,0.0,0.99,1.0,1.0,1.01,0.0,0.0,0.0,1.0
6,0.99,0.0,0.0,0.0,0.99,0.0,0.0,0.98,0.99,0.0,1.01,13.13,18.18,10.89,1.0,26.67,0.99,0.0,0.0,0.0,1.0,0.0,0.0,17.33,0.0,0.0,34.69,33.33,50.0,1.0,1.0,0.0,17.2,16.85,22.39,22.73,17.78,15.38,0.0,0.0,0.0,16.0,0.0,1.01,4.76,19.12,0.0,0.99,0.99,0.99,0.0,0.0,16.87,0.0,8.89,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.01,0.98,1.0,0.0,0.0,0.0,1.0,2.02,1.0,1.0,1.0,0.0,0.0,1.01,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.99,0.99,1.98,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.01,1.01,2.67,2.47,64.29,33.33,1.0,1.98,0.99,1.0,0.0,1.01,1.0,15.69,15.91,14.29,10.1,2.02,0.0,0.99,0.0,1.01,1.0,2.0,1.01,20.0,0.99
7,0.0,14.0,14.0,10.0,8.16,13.86,13.13,14.29,12.24,14.85,30.43,16.0,2.0,15.0,10.71,14.0,22.99,12.96,19.4,7.84,13.0,24.14,23.94,1.0,14.55,12.73,9.09,0.0,2.02,16.36,24.24,12.0,1.01,0.0,1.02,1.0,0.99,1.0,22.99,22.58,2.0,4.44,10.0,17.86,12.37,3.37,1.01,25.37,23.33,22.06,26.23,35.14,0.99,0.0,77.78,1.0,0.0,0.0,0.0,0.99,0.99,0.99,1.98,0.0,0.0,0.0,0.99,1.0,0.98,0.0,1.0,0.0,0.0,0.0,0.0,0.99,0.98,16.33,14.14,15.15,12.0,8.08,7.07,7.07,6.0,1.0,1.0,1.0,1.98,14.0,0.0,0.98,1.0,0.99,0.0,0.0,0.0,0.0,13.13,0.99,0.0,1.01,0.0,1.0,1.0,0.0,1.01,0.0,0.0,1.01,0.0,10.0,11.88,3.03,22.86,0.0,11.22,7.0,17.17,1.01,3.51,9.09,12.0,4.26,4.88,9.09,0.0,11.88,14.14,4.04,13.0,4.0,54.17,2.2,1.98,33.33,47.73,2.78,19.19,3.85
8,16.35,0.0,1.96,6.0,5.0,0.99,0.0,1.0,0.0,2.0,2.97,0.0,17.0,2.0,16.33,18.0,2.78,46.43,16.13,24.53,1.0,10.64,5.26,27.59,26.92,22.97,1.0,25.81,28.57,58.82,2.02,1.02,0.99,1.0,1.0,0.0,0.0,0.0,1.09,4.55,19.67,1.06,4.04,13.33,22.77,0.0,23.53,5.06,23.26,4.55,15.38,1.09,0.0,14.0,3.96,14.14,12.12,16.16,12.12,12.12,13.0,13.0,14.14,13.0,14.85,11.22,14.0,13.13,10.1,13.0,14.14,13.0,13.13,0.99,14.85,15.31,12.24,1.0,1.0,0.0,0.0,6.0,6.06,7.07,8.0,11.88,10.89,14.14,11.11,1.01,14.14,15.15,16.83,14.0,14.14,13.13,16.16,15.15,0.0,15.15,16.33,12.0,14.0,13.86,13.13,13.13,13.86,12.0,15.0,12.12,14.14,5.05,4.4,75.0,1.3,7.92,15.0,11.88,15.15,26.67,19.05,5.1,7.07,17.07,17.35,4.04,1.0,1.01,16.0,0.0,1.01,64.0,5.13,11.22,14.29,2.53,0.0,58.06,19.0,14.14
9,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.97,0.99,15.15,1.0,1.0,0.0,17.0,5.0,0.0,1.0,2.04,2.0,0.0,2.0,0.0,7.14,2.08,0.0,28.12,2.0,2.04,2.97,2.08,0.0,11.11,14.74,14.14,16.33,14.14,12.12,2.08,1.0,19.75,0.99,1.0,0.0,1.01,19.0,3.33,0.0,0.0,0.99,1.08,0.0,1.0,1.0,13.58,0.0,0.0,0.0,0.0,0.99,1.0,0.0,0.0,1.0,0.0,0.99,0.0,0.0,0.99,0.0,0.99,2.0,1.0,11.11,0.0,0.0,1.0,0.0,0.0,0.99,1.0,0.0,0.0,0.99,0.0,1.01,0.0,1.01,0.99,12.0,0.0,0.99,0.0,1.01,1.98,0.0,1.0,1.0,13.13,1.0,1.0,1.0,0.0,0.0,1.0,1.01,0.0,0.0,1.0,0.0,1.0,0.0,0.99,5.0,1.0,7.14,0.0,0.0,1.0,0.0,0.0,0.99,0.99,1.05,13.86,0.99,0.0,0.0,1.01,0.0,0.99,2.04,0.0,13.0,14.29,0.0,1.98,1.96,1.0,14.14
10,0.0,3.03,5.0,2.02,2.02,12.0,10.0,10.2,9.09,4.12,1.01,1.0,1.0,1.01,1.01,1.0,22.22,34.85,9.18,60.0,4.04,65.62,10.0,0.99,10.0,10.1,1.0,1.0,0.0,13.27,9.9,5.05,2.2,2.17,1.11,1.11,1.1,1.1,10.0,19.15,0.0,1.0,0.0,21.78,0.0,1.11,2.04,9.9,8.91,23.47,21.0,0.0,1.01,1.0,3.03,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,15.84,13.13,10.1,15.84,14.14,15.0,14.14,13.13,10.1,15.15,15.15,12.24,2.0,12.87,14.0,12.0,15.15,13.13,12.12,17.0,13.13,0.98,10.1,14.14,13.0,13.0,15.0,17.0,16.16,12.12,16.0,13.0,14.29,12.12,0.99,7.07,15.15,12.87,0.0,1.0,0.0,0.99,0.99,13.0,1.0,0.0,17.17,0.0,0.0,1.01,1.0,0.0,0.0,0.0,11.11,13.0,1.0,6.0,16.0,15.0,17.17,0.0,0.0
11,4.04,11.76,8.91,10.89,12.75,3.92,3.0,3.96,4.0,11.0,0.0,1.0,0.0,0.99,1.0,0.0,0.0,0.99,47.83,0.0,8.91,0.0,47.62,0.0,47.37,61.11,0.0,0.99,0.0,1.01,4.0,8.0,1.09,1.09,1.1,0.0,1.08,1.09,23.08,0.0,12.24,0.0,12.0,0.0,0.0,2.15,8.08,14.0,56.0,1.1,9.09,1.01,0.0,13.0,0.0,13.0,13.0,12.87,14.0,14.0,11.0,13.13,17.17,14.14,15.0,10.89,13.0,14.14,14.0,13.13,11.0,12.0,15.0,0.0,15.31,14.14,12.87,2.0,0.0,0.0,0.0,0.0,1.01,1.01,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.99,1.96,1.0,1.0,0.0,1.0,1.0,0.0,0.99,1.98,0.0,1.01,0.0,0.0,1.01,1.0,0.0,1.98,1.98,1.0,0.0,7.92,0.0,2.0,1.0,1.0,0.0,1.0,13.13,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.99,1.01,1.96,0.0,0.99,1.0,0.0,7.92,0.0,1.0,1.0,1.0,0.0
12,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.02,0.0,0.0,0.99,0.0,0.99,0.0,0.0,0.0,0.97,1.01,0.0,1.98,2.0,0.0,0.0,1.0,0.0,1.11,0.98,0.0,0.0,1.0,0.99,0.0,0.0,1.14,0.0,58.33,1.01,1.0,1.0,0.0,0.0,12.0,1.11,0.0,0.0,1.01,0.0,8.57,1.0,0.0,0.99,0.0,0.0,1.0,1.0,0.0,0.99,1.0,0.0,1.0,0.0,0.99,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0,0.99,0.0,0.99,1.01,0.99,0.0,0.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,0.0,0.99,0.0,1.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.01,1.01,0.0,0.99,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.02,1.01,0.0,1.0,1.0,0.0,1.0,0.99,0.0,0.99,1.0,0.0,0.99,0.97,0.99
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.99,0.0,0.0,0.0,1.0,0.99,0.0,1.01,1.0,0.0,1.0,0.98,0.0,0.0,0.0,0.98,1.98,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,1.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.01,0.0,1.01,0.0,1.98,0.0,0.0,0.99,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.99,0.0,2.0,1.01,0.99,1.0,0.0,1.01,0.0,0.0,0.99,0.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.99,1.0,0.98,0.0,0.0,1.01,0.0,0.0,0.0,1.01,1.0,0.0,1.0,0.0,0.0
14,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.01,0.0,0.0,1.01,0.98,0.98,0.0,0.99,0.0,0.0,0.0,38.18,0.0,0.0,1.0,1.01,4.35,2.0,0.0,0.0,1.98,0.0,0.0,1.0,0.0,1.0,1.01,0.0,1.01,42.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.01,0.99,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.99,1.0,0.0,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,1.0,1.01,0.0,0.0,0.0,1.0,0.99,0.0,1.0,0.0,1.0,0.0,1.01,0.0,0.0,1.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,1.01,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.01,6.9,0.0,2.0,1.69,0.0,0.0,0.99,1.01,0.0,0.0,0.0,0.0,1.98,0.0
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.08,0.99,1.0,0.0,1.0,0.0,1.0,1.01,1.01,0.0,0.0,1.0,1.43,0.0,0.0,0.0,8.33,14.85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.77,0.99,0.0,1.0,0.0,0.0,1.0,16.0,1.41,0.0,1.56,1.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.99,0.0,0.0,0.0,0.99,0.99,1.01,0.0,1.0,1.0,0.0,1.01,1.0,0.0,0.0,14.14,0.99,1.01,0.0,0.99,0.0,0.0,0.0,0.0,0.0,14.86,12.2,0.99,0.99,15.66,13.13,5.0,0.0,70.59,2.94,0.0,0.99,1.0,1.0,1.98,0.0,0.0,1.0,1.01
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13,1.12,52.63,1.0,1.01,1.0,5.68,0.0,0.0,0.99,0.96,0.0,0.0,0.99,0.0,8.7,12.12,0.0,0.0,0.0,0.0,10.87,11.83,12.77,0.0,1.01,14.13,1.0,0.0,1.01,0.0,0.0,1.0,7.78,15.05,0.0,0.0,0.0,1.0,0.0,2.63,1.01,0.0,28.57,0.0,0.99,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.98,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.01,0.0,1.0,1.0,1.01,0.99,0.98,1.01,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.99,0.0,0.99,0.99,0.99,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.04,0.99,0.99,0.0,11.11,43.33,25.0,17.39,1.0,1.98,3.3,0.0,1.0,0.0,2.22,0.0,15.85,6.67,2.0,14.14,0.0,0.0,0.0,2.0,0.0,1.01,1.0,4.88,0.0
17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.99,73.33,11.0,0.99,28.57,16.33,50.0,10.53,34.43,0.0,41.46,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.25,1.01,0.99,3.92,6.0,21.05,28.85,18.48,5.0,1.01,5.81,0.0,1.0,1.0,12.37,0.0,10.11,1.94,1.0,31.58,12.5,34.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,0.0,0.0,6.06,0.0,1.01,0.0,1.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,0.0,1.01,0.99,1.0,0.99,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,9.09,1.04,0.99,4.27,12.12,0.0,0.0,1.3,0.0,1.01,31.43,0.0,0.0,0.0,13.0,0.0,0.98,1.0,2.11,0.0,0.0,0.0,1.14,0.0,38.46,3.45
18,0.0,16.0,12.87,13.86,15.15,14.14,12.12,14.85,13.73,13.59,52.63,1.02,8.91,0.0,55.56,12.12,5.0,10.11,12.0,1.0,16.0,5.75,36.07,0.0,35.0,34.15,0.0,0.0,1.0,19.0,16.87,16.83,1.0,0.0,1.0,0.0,1.0,0.0,35.94,81.25,24.21,1.08,12.12,30.0,0.0,0.0,0.0,23.33,1.0,6.0,1.98,0.0,0.0,11.11,0.0,12.12,14.29,12.0,14.0,12.24,13.73,17.17,15.15,10.1,12.0,12.0,7.92,9.0,8.16,9.18,10.78,14.14,11.0,0.0,11.11,6.0,1.01,14.0,13.0,13.27,12.0,12.12,17.0,15.15,13.0,11.0,7.0,8.0,7.14,5.94,1.98,0.0,0.0,0.0,1.01,0.99,1.02,1.01,13.0,1.98,0.0,0.99,1.0,0.0,0.0,1.0,0.0,0.0,0.99,0.99,0.0,0.99,11.22,15.15,6.45,0.0,0.0,1.01,0.0,0.99,20.63,1.0,1.0,19.05,7.0,0.0,1.0,1.0,0.0,0.99,1.01,0.0,46.67,57.89,0.0,42.31,52.38,1.47,1.0,52.0
19,15.0,0.0,1.01,1.01,0.0,1.0,0.0,0.99,0.0,0.0,9.0,0.0,0.0,1.0,10.2,1.0,0.0,0.98,1.0,0.0,0.0,1.98,0.0,1.01,9.62,25.93,1.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,6.82,0.0,1.05,1.0,0.0,0.0,1.0,29.03,0.99,1.0,0.0,1.0,0.0,13.13,1.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,1.01,3.0,8.0,4.95,5.94,5.0,2.04,2.02,1.0,13.86,2.0,7.92,14.14,0.99,0.0,1.0,0.0,0.0,0.0,0.98,0.99,3.03,6.0,7.0,8.08,1.0,10.2,12.12,13.86,10.0,14.0,12.24,12.87,14.0,0.0,13.13,14.0,13.27,13.13,12.12,14.14,14.85,17.17,15.84,12.12,12.24,14.14,0.0,0.0,1.01,0.0,0.97,0.0,1.01,1.0,42.42,2.11,0.0,1.0,0.99,1.0,0.99,0.0,1.01,0.0,0.0,1.01,52.94,10.89,8.0,37.14,2.33,8.08,48.28,0.0,0.0
20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.01,1.0,0.0,1.0,1.0,0.98,0.0,0.0,0.0,0.0,0.98,0.0,0.0,17.17,0.0,0.98,0.0,2.0,0.0,1.0,0.0,0.0,1.05,0.0,0.99,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,2.22,1.01,1.01,1.33,1.0,0.0,11.22,1.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.99,0.0,1.01,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.01,0.0,0.0,0.0,0.0,1.0,2.0,1.01,0.0,0.0,0.98,1.0,0.0,1.01,1.0,0.0,0.0,2.0,1.0,1.01,0.0,0.0,1.0,0.0,0.0,1.02,0.0,0.98,1.0,0.0,0.99,0.0,0.98,0.0,0.99,2.78,0.0,1.0,0.0,0.0,1.02,1.0,0.0,0.0,0.0,0.99,0.0,7.92,0.0,0.0,1.08,1.0,0.0,0.0,0.0,1.01
21,0.0,1.0,0.0,0.0,0.0,0.0,0.99,1.0,0.0,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.05,1.06,0.0,1.0,1.0,0.0,1.96,4.0,0.0,1.08,1.0,1.01,20.41,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.0,1.0,0.0,0.0,1.1,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.99,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.98,0.0,1.0,0.0,0.99,0.0,0.0,1.01,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.01,1.01,1.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,1.01,0.99,0.0,21.0,0.0,0.0,1.01,0.99,0.0,1.0,0.99,0.0,0.0,0.99,0.99,1.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,1.0,0.99,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63,0.0,1.01,5.56,1.0,0.0,1.01,13.0,11.11,0.0,0.0,0.0,0.0,0.0,22.0,0.99,0.0,0.0,0.0,1.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.99,0.0,1.0,0.0,0.0,0.99,0.0,1.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,1.0,1.0,0.98,1.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.01,1.0,0.0,0.0,1.0,0.98,0.0,1.0,0.0,1.01,1.0,0.99,0.99,0.0,0.99,1.0,1.01,0.0,0.99,0.0,0.99,0.99,0.0,0.0,0.99,1.0,0.0,0.99,22.0,17.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
