op_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,164808822784,138435190784,154553585664,148241760256,135638294528,154554343424,112647524352,181553139712,142475780096,189604380672,115294482432,147754754048,157167804416,177118814208,191349489664,151513567232,150450511872,178345365504,164146606080,177548636160,144427020288,159463714816,172266987520,191520587776,183868801024,163532124160,128838860800,198210281472,156728897536,172406710272,148964208640,126973067264,164050919424,185442193408,156615122944,162534764544,148051562496,175773839360,229931122688,134845833216
1,164809097216,138435338240,154553831424,148241915904,135638503424,154554531840,112647647232,181553307648,142475870208,189604483072,115294707712,147755028480,157168050176,177119125504,191349751808,151513739264,150450671616,178345533440,164146860032,177548738560,144427290624,159464030208,172267307008,191520788480,183869116416,163532541952,128839147520,198210600960,156729073664,172406857728,148964446208,126973276160,164051173376,185442435072,156615335936,162534993920,148051697664,175774072832,229931376640,134845952000
2,164809641984,138435940352,154554331136,148242505728,135639171072,154555285504,112648081408,181554094080,142476550144,189604978688,115295178752,147755556864,157168537600,177119830016,191350407168,151514468352,150451343360,178346332160,164147376128,177549631488,144427855872,159464665088,172267925504,191521501184,183869784064,163533094912,128839655424,198211104768,156729700352,172407418880,148964995072,126973894656,164051980288,185443287040,156616044544,162535694336,148052303872,175774695424,229932294144,134846488576
3,164810256384,138436423680,154554884096,148243070976,135639670784,154555801600,112648458240,181554671616,142477144064,189605568512,115295502336,147756093440,157169242112,177120370688,191351021568,151514968064,150451806208,178346909696,164148097024,177550151680,144428302336,159465209856,172268486656,191522021376,183870504960,163533656064,128840114176,198211833856,156730363904,172408176640,148965429248,126974357504,164052549632,185443864576,156616511488,162536222720,148052783104,175775236096,229933092864,134847029248
4,164811087872,138437160960,154555916288,148243652608,135640117248,154556502016,112648974336,181555482624,142477893632,189606330368,115295907840,147756703744,157169827840,177121087488,191351689216,151515480064,150452486144,178347577344,164148776960,177550798848,144428781568,159465865216,172269121536,191522783232,183871197184,163534143488,128840499200,198212763648,156730863616,172408745984,148965982208,126974775296,164053123072,185444638720,156617084928,162536726528,148053417984,175775887360,229934014464,134847533056
5,164811698176,138437656576,154556309504,148244324352,135640535040,154557161472,112649437184,181556338688,142478491648,189606899712,115296346112,147757162496,157170421760,177121722368,191352590336,151516020736,150453067776,178348318720,164149379072,177551523840,144429314048,159466471424,172269744128,191523631104,183871737856,163534733312,128840982528,198213427200,156731265024,172409421824,148966518784,126975320064,164053798912,185445318656,156617678848,162537246720,148053921792,175776632832,229934899200,134848020480
6,164812173312,138438123520,154556887040,148244742144,135641260032,154557612032,112649703424,181556891648,142478848000,189607530496,115296665600,147757580288,157170757632,177122201600,191353118720,151516471296,150453530624,178348802048,164149846016,177552220160,144429817856,159466885120,172270284800,191524323328,183871737856,163535204352,128841404416,198214094848,156731265024,172410077184,148967002112,126975709184,164054331392,185445789696,156618100736,162537762816,148054368256,175777222656,229935693824,134848479232
7,164812677120,138438483968,154557349888,148245155840,135641681920,154558111744,112649998336,181557260288,142479269888,189608259584,115296944128,147758026752,157170757632,177122807808,191353708544,151516930048,150453927936,178349268992,164150247424,177552707584,144430415872,159467556864,172270964736,191524990976,183872458752,163535896576,128841781248,198214778880,156731936768,172410667008,148967436288,126976045056,164054773760,185446461440,156618711040,162538307584,148054888448,175777783808,229936402432,134848860160
8,164813078528,138439028736,154557825024,148245733376,135642226688,154558705664,112650301440,181557993472,142479704064,189608919040,115297419264,147758624768,157171552256,177123426304,191354368000,151517540352,150454538240,178349920256,164150870016,177553235968,144430891008,159468036096,172271509504,191525761024,183873327104,163536457728,128842326016,198215655424,156733108224,172411191296,148967948288,126976376832,164055207936,185447071744,156619300864,162538803200,148055347200,175777783808,229937147904,134849368064
9,164813484032,138439303168,154558119936,148246003712,135642517504,154559057920,112650608640,181558374400,142479847424,189609709568,115297751040,147758981120,157172363264,177123958784,191354970112,151517937664,150454910976,178350481408,164151316480,177553846272,144431230976,159468355584,172271820800,191526178816,183873953792,163536814080,128842608640,198216044544,156733513728,172411691008,148968321024,126976745472,164055654400,185447755776,156619751424,162539229184,148055728128,175777783808,229937967104,134849761280
10,164813541376,138439331840,154558169088,148246036480,135642554368,154559107072,112650665984,181558435840,142479847424,189609848832,115297779712,147759042560,157172428800,177124036608,191355080704,151517974528,150454968320,178350538752,164151398400,177553948672,144431280128,159468408832,172271874048,191526227968,183874019328,163536859136,128842670080,198216110080,156733554688,172411748352,148968378368,126976819200,164055748608,185447825408,156619796480,162539323392,148055810048,175777783808,229938085888,134849822720
11,164813623296,138439389184,154558214144,148246097920,135642628096,154559148032,112650711040,181558530048,142479847424,189610070016,115297824768,147759120384,157172518912,177124102144,191355183104,151518031872,150455062528,178350587904,164151455744,177554014208,144431362048,159468470272,172271972352,191526326272,183874109440,163536916480,128842731520,198216200192,156733607936,172411813888,148968448000,126976884736,164055851008,185447927808,156619866112,162539393024,148055875584,175777783808,229938249728,134849888256
12,164813623296,138439389184,154558214144,148246097920,135642628096,154559148032,112650711040,181558530048,142479847424,189610070016,115297824768,147759120384,157172518912,177124102144,191355183104,151518031872,150455062528,178350587904,164151455744,177554014208,144431362048,159468470272,172271972352,191526326272,183874109440,163536916480,128842731520,198216200192,156733607936,172411813888,148968448000,126976884736,164055851008,185447927808,156619866112,162539393024,148055875584,175777783808,229938249728,134849888256
13,164813623296,138439389184,154558214144,148246097920,135642628096,154559148032,112650711040,181558530048,142479847424,189610070016,115297824768,147759120384,157172518912,177124102144,191355183104,151518031872,150455062528,178350587904,164151455744,177554014208,144431362048,159468470272,172271972352,191526326272,183874109440,163536916480,128842731520,198216200192,156733607936,172411813888,148968448000,126976884736,164055851008,185447927808,156619866112,162539393024,148055875584,175777783808,229938249728,134849888256
14,164813623296,138439389184,154558214144,148246097920,135642628096,154559148032,112650711040,181558530048,142479847424,189610070016,115297824768,147759120384,157172518912,177124102144,191355183104,151518031872,150455062528,178350587904,164151455744,177554014208,144431362048,159468470272,172271972352,191526326272,183874109440,163536916480,128842731520,198216200192,156733607936,172411813888,148968448000,126976884736,164055851008,185447927808,156619866112,162539393024,148055875584,175777783808,229938249728,134849888256
15,164813623296,138439389184,154558214144,148246097920,135642628096,154559148032,112650711040,181558530048,142479847424,189610070016,115297824768,147759120384,157172518912,177124102144,191355183104,151518031872,150455062528,178350587904,164151455744,177554014208,144431362048,159468470272,172271972352,191526326272,183874109440,163536916480,128842731520,198216200192,156733607936,172411813888,148968448000,126976884736,164055851008,185447927808,156619866112,162539393024,148055875584,175777783808,229938249728,134849888256
16,164813824000,138439639040,154558447616,148246405120,135642865664,154559475712,112650940416,181558919168,142479847424,189610303488,115298037760,147759390720,157172817920,177124372480,191355457536,151518318592,150455296000,178350813184,164151681024,177554362368,144431747072,159468650496,172272181248,191526629376,183874433024,163537203200,128842932224,198216548352,156733812736,172412022784,148968693760,126977048576,164056096768,185448161280,156620054528,162539606016,148056068096,175777902592,229938466816,134850031616
17,164813824000,138439741440,154558541824,148246495232,135642992640,154559578112,112651010048,181559070720,142479847424,189610594304,115298119680,147759484928,157172899840,177124491264,191355596800,151518449664,150455451648,178350981120,164151783424,177554485248,144431869952,159468748800,172272300032,191526735872,183874584576,163537371136,128843051008,198216671232,156734001152,172412022784,148968828928,126977126400,164056203264,185448280064,156620054528,162539782144,148056223744,175779201024,229938466816,134850121728
18,164813824000,138439811072,154558595072,148246536192,135643037696,154559594496,112651055104,181559115776,142479847424,189610655744,115298131968,147759538176,157172928512,177124491264,191355666432,151518494720,150455496704,178351005696,164151803904,177554563072,144431906816,159468789760,172272345088,191526752256,183874625536,163537408000,128843071488,198216695808,156734025728,172412198912,148968865792,126977146880,164056260608,185448337408,156620058624,162539814912,148056297472,175779254272,229938483200,134850146304
19,164813824000,138439917568,154558746624,148246609920,135643152384,154559696896,112651137024,181559234560,142480687104,189610799104,115298258944,147759640576,157173071872,177124491264,191355797504,151518609408,150455607296,178351136768,164151898112,177554673664,144431992832,159468879872,172272467968,191526879232,183874793472,163537502208,128843141120,198216790016,156734136320,172412198912,148968996864,126977241088,164056350720,185448341504,156620058624,162539995136,148056379392,175779516416,229938483200,134850265088
20,164813824000,138439921664,154558763008,148246626304,135643176960,154559709184,112651157504,181559250944,142480793600,189610848256,115298295808,147759677440,157173100544,177124536320,191355822080,151518650368,150455627776,178351194112,164151914496,177554739200,144432025600,159468929024,172272504832,191526916096,183874850816,163537534976,128843169792,198216826880,156734156800,172412198912,148969029632,126977249280,164056379392,185448341504,156620058624,162540019712,148056416256,175779536896,229938483200,134850297856
21,164813967360,138439995392,154558795776,148246679552,135643226112,154559709184,112651194368,181559312384,142480834560,189610885120,115298324480,147759714304,157173149696,177124536320,191355883520,151518715904,150455676928,178351235072,164151943168,177554780160,144432066560,159468998656,172272517120,191526989824,183874895872,163537584128,128843202560,198216896512,156734210048,172412198912,148969062400,126977277952,164056391680,185448341504,156620058624,162540060672,148056449024,175779561472,229938716672,134850351104
22,164813967360,138440065024,154558869504,148246769664,135643291648,154559856640,112651243520,181559406592,142480916480,189610954752,115298365440,147759775744,157173219328,177124536320,191356006400,151518810112,150455754752,178351345664,164151975936,177554853888,144432123904,159469051904,172272517120,191527059456,183874961408,163537649664,128843268096,198216949760,156734238720,172412530688,148969123840,126977339392,164056498176,185448591360,156620058624,162540142592,148056506368,175779635200,229938716672,134850387968
23,164814503936,138440159232,154558971904,148246929408,135643402240,154559938560,112651345920,181559508992,142481080320,189611098112,115298443264,147759894528,157173395456,177124536320,191356133376,151518941184,150455902208,178351538176,164151975936,177554984960,144432279552,159469191168,172272693248,191527227392,183875137536,163537760256,128843300864,198217203712,156734357504,172412612608,148969230336,126977429504,164056629248,185448841216,156620083200,162540228608,148056592384,175779803136,229939462144,134850473984
24,164814770176,138440335360,154559229952,148247117824,135643566080,154560004096,112651460608,181559717888,142481252352,189611347968,115298680832,147760103424,157173538816,177125101568,191356133376,151519154176,150456025088,178351714304,164151975936,177555193856,144432476160,159469350912,172272758784,191527469056,183875342336,163537924096,128843304960,198217543680,156734619648,172412854272,148969398272,126977564672,164056780800,185449000960,156620746752,162540228608,148056752128,175780012032,229939666944,134850473984
25,164814827520,138440351744,154559275008,148247158784,135643586560,154560172032,112651460608,181559791616,142481293312,189611409408,115298705408,147760140288,157173579776,177125224448,191356133376,151519195136,150456045568,178351751168,164151975936,177555243008,144432545792,159469408256,172272758784,191527514112,183875416064,163537977344,128843370496,198217666560,156734668800,172412993536,148969480192,126977617920,164056846336,185449074688,156620918784,162540228608,148056793088,175780126720,229939859456,134850482176
26,164814827520,138440351744,154559275008,148247158784,135643586560,154560172032,112651460608,181559791616,142481293312,189611409408,115298705408,147760140288,157173579776,177125224448,191356133376,151519195136,150456045568,178351751168,164151975936,177555243008,144432545792,159469408256,172272758784,191527514112,183875416064,163537977344,128843370496,198217666560,156734668800,172412993536,148969480192,126977617920,164056846336,185449074688,156620918784,162540228608,148056793088,175780126720,229939859456,134850482176
27,164815216640,138440560640,154559496192,148247416832,135643852800,154560380928,112651460608,181560168448,142481543168,189611782144,115298947072,147760287744,157173886976,177125621760,191356133376,151519440896,150456221696,178351906816,164152672256,177555406848,144432730112,159469608960,172272795648,191527772160,183875682304,163538165760,128843743232,198217936896,156734816256,172413276160,148969713664,126977798144,164057124864,185449385984,156621139968,162540228608,148057038848,175780433920,229940199424,134850793472
28,164815216640,138440560640,154559496192,148247425024,135643877376,154560417792,112651460608,181560176640,142481567744,189611823104,115298975744,147760287744,157173915648,177125650432,191356133376,151519461376,150456250368,178351960064,164152709120,177555406848,144432750592,159469625344,172273192960,191527804928,183875723264,163538235392,128843800576,198217998336,156734889984,172413341696,148969746432,126977802240,164057169920,185449414656,156621164544,162540228608,148057071616,175780470784,229940264960,134850809856
29,164815323136,138440650752,154559512576,148247490560,135643934720,154560458752,112651821056,181560258560,142481625088,189611917312,115299061760,147760287744,157173993472,177125781504,191356133376,151519539200,150456340480,178352095232,164152786944,177555406848,144432807936,159469735936,172273295360,191527907328,183875788800,163538296832,128843857920,198218158080,156734976000,172413435904,148969832448,126977888256,164057276416,185449512960,156621258752,162540228608,148057153536,175780552704,229940387840,134850891776
30,164815585280,138440814592,154559512576,148247629824,135644102656,154560684032,112651968512,181560401920,142481727488,189612199936,115299250176,147760287744,157174112256,177125957632,191356186624,151519694848,150456516608,178352287744,164152918016,177555410944,144432926720,159469895680,172273446912,191528071168,183875923968,163538427904,128843980800,198218207232,156735115264,172413644800,148969897984,126977982464,164057391104,185449644032,156621385728,162541023232,148057264128,175780696064,229940555776,134850953216
31,164815659008,138440916992,154559512576,148247748608,135644213248,154560872448,112652017664,181560557568,142481846272,189612310528,115299348480,147760287744,157174255616,177126084608,191357104128,151519694848,150456651776,178352427008,164153061376,177555410944,144433078272,159470051328,172273590272,191528255488,183876096000,163538587648,128844070912,198218207232,156735287296,172413792256,148970004480,126978117632,164057452544,185449811968,156621533184,162541170688,148057403392,175780868096,229940772864,134851104768
32,164815667200,138440916992,154559512576,148247756800,135644217344,154560872448,112652017664,181560557568,142481850368,189612310528,115299348480,147760320512,157174263808,177126084608,191357112320,151519694848,150456659968,178352427008,164153065472,177555410944,144433078272,159470051328,172273590272,191528255488,183876096000,163538587648,128844070912,198218207232,156735291392,172413792256,148970004480,126978121728,164057452544,185449816064,156621533184,162541178880,148057403392,175780872192,229940772864,134851108864
33,164815708160,138440970240,154559512576,148247785472,135644262400,154560892928,112652054528,181560578048,142481891328,189612351488,115299368960,147760320512,157174284288,177126105088,191357124608,151519862784,150456672256,178352443392,164153102336,177555410944,144433086464,159470075904,172273614848,191528300544,183876124672,163538632704,128844103680,198218207232,156735332352,172413825024,148970029056,126978154496,164057452544,185449861120,156621565952,162541232128,148057436160,175780945920,229940822016,134851121152
34,164815839232,138441117696,154559512576,148247908352,135644356608,154561015808,112652124160,181560659968,142482001920,189612507136,115299487744,147760373760,157174411264,177126273024,191357317120,151519973376,150456741888,178352541696,164153208832,177556131840,144433205248,159470211072,172273778688,191528423424,183876251648,163538747392,128844230656,198218207232,156735512576,172413992960,148970127360,126978260992,164057501696,185449934848,156621697024,162541338624,148057501696,175781044224,229941035008,134851289088
35,164815917056,138441207808,154559541248,148248064000,135644442624,154561212416,112652234752,181560659968,142482108416,189612683264,115299549184,147760893952,157174480896,177126313984,191357415424,151520038912,150456827904,178352644096,164153303040,177556238336,144433205248,159470374912,172274003968,191528423424,183876399104,163538845696,128844316672,198218207232,156735680512,172414124032,148970221568,126978342912,164057649152,185450106880,156621824000,162541506560,148057624576,175781175296,229941186560,134851444736
36,164816130048,138441404416,154560352256,148248276992,135644610560,154561490944,112652386304,181560659968,142482276352,189612896256,115299680256,147761217536,157174562816,177126576128,191357792256,151520251904,150456881152,178352939008,164153470976,177556471808,144433205248,159470579712,172274184192,191528763392,183876542464,163538984960,128844468224,198218207232,156735766528,172414353408,148970377216,126978527232,164057989120,185450377216,156622057472,162541649920,148057870336,175781261312,229941456896,134851678208
37,164816150528,138441433088,154560389120,148248297472,135644647424,154561531904,112652406784,181560659968,142482321408,189612969984,115299713024,147761246208,157174562816,177126588416,191357829120,151520317440,150456889344,178352967680,164153565184,177556541440,144433238016,159470686208,172274262016,191528849408,183876640768,163539062784,128844541952,198218280960,156735766528,172414468096,148970393600,126978543616,164058021888,185450414080,156622077952,162541735936,148057903104,175781261312,229941551104,134851706880
38,164816154624,138441453568,154560405504,148248309760,135644655616,154561544192,112652406784,181560659968,142482321408,189612974080,115299717120,147761246208,157174562816,177126625280,191357911040,151520329728,150456889344,178353012736,164153581568,177556549632,144433238016,159470714880,172274274304,191528886272,183876661248,163539079168,128844570624,198218432512,156735766528,172414488576,148970401792,126978555904,164058038272,185450467328,156622094336,162541748224,148057915392,175781261312,229941579776,134851727360
39,164816424960,138441666560,154560675840,148248539136,135644884992,154561769472,112652546048,181560778752,142482321408,189613223936,115299942400,147761410048,157174562816,177126842368,191358136320,151520530432,150456889344,178353229824,164153790464,177556684800,144433246208,159470780416,172274352128,191528988672,183876730880,163539148800,128844623872,198219227136,156735791104,172414582784,148970590208,126978703360,164058238976,185450647552,156622233600,162541912064,148058054656,175781294080,229941796864,134851837952
40,164816785408,138442035200,154561060864,148248850432,135645122560,154562039808,112652746752,181561810944,142482644992,189613531136,115300159488,147761688576,157175377920,177127284736,191358513152,151520845824,150457044992,178353651712,164154146816,177557061632,144433590272,159471087616,172274671616,191529369600,183877128192,163539505152,128844926976,198219677696,156736356352,172414746624,148970983424,126979031040,164058558464,185451073536,156622565376,162542284800,148058357760,175781294080,229942411264,134852112384
41,164816883712,138442137600,154561236992,148249075712,135645241344,154562203648,112652873728,181561978880,142482972672,189613768704,115300261888,147761860608,157175582720,177127473152,191358709760,151521087488,150457729024,178353651712,164154335232,177557331968,144433651712,159471194112,172274941952,191529730048,183877472256,163539738624,128845271040,198220013568,156736626688,172414746624,148971184128,126979166208,164058828800,185451368448,156622778368,162542510080,148058624000,175781314560,229942788096,134852329472
42,164816969728,138442174464,154561318912,148249133056,135645274112,154562228224,112652902400,181562015744,142483050496,189613793280,115300282368,147761909760,157175644160,177127473152,191358750720,151521153024,150457786368,178353893376,164154408960,177557409792,144434155520,159471194112,172275073024,191529836544,183877566464,163539820544,128845336576,198220111872,156736724992,172414746624,148971245568,126979211264,164058906624,185451438080,156622848000,162542559232,148058652672,175781314560,229942882304,134852386816
43,164817195008,138442436608,154561581056,148249419776,135645487104,154562523136,112653152256,181562466304,142483357696,189614133248,115300507648,147762253824,157175951360,177127473152,191359184896,151521472512,150458081280,178354208768,164154703872,177557790720,144434388992,159471194112,172275269632,191530106880,183877791744,163540041728,128845500416,198220357632,156736999424,172414746624,148971544576,126979362816,164059234304,185451782144,156623130624,162542878720,148058968064,175781543936,229943140352,134852583424
44,164817195008,138442436608,154561581056,148249419776,135645487104,154562523136,112653152256,181562466304,142483357696,189614133248,115300507648,147762253824,157175951360,177127473152,191359184896,151521472512,150458081280,178354208768,164154703872,177557790720,144434483200,159471194112,172275429376,191530246144,183877931008,163540185088,128845606912,198220496896,156737105920,172415537152,148971544576,126979362816,164059234304,185451782144,156623130624,162542878720,148058968064,175781543936,229943140352,134852587520
45,164817453056,138442600448,154561789952,148249620480,135645589504,154562678784,112653250560,181562703872,142483496960,189614260224,115300622336,147762458624,157176147968,177127473152,191359373312,151521636352,150458269696,178354360320,164154863616,177558020096,144434532352,159471194112,172275478528,191530291200,183877947392,163540217856,128845623296,198220550144,156737122304,172415705088,148971651072,126979506176,164059439104,185452032000,156623237120,162543120384,148059090944,175782572032,229943144448,134852702208
46,164817620992,138442907648,154562105344,148249944064,135645933568,154563014656,112653479936,181563174912,142483779584,189614260224,115300835328,147762814976,157176492032,177128255488,191359803392,151521935360,150458585088,178354700288,164155228160,177558384640,144434790400,159472037888,172275798016,191530655744,183878275072,163540533248,128845914112,198220894208,156737359872,172416098304,148971950080,126979821568,164059795456,185452425216,156623237120,162543517696,148059447296,175783383040,229943169024,134852947968
47,164817883136,138442960896,154562179072,148250030080,135646007296,154563014656,112653520896,181563252736,142483861504,189614260224,115300864000,147762860032,157176565760,177128431616,191359918080,151522013184,150458675200,178354798592,164155256832,177558462464,144434888704,159472275456,172275933184,191530954752,183878549504,163540795392,128846098432,198221312000,156737622016,172416417792,148972023808,126979887104,164059877376,185452531712,156623237120,162543624192,148059529216,175783514112,229943169024,134853013504
48,164817883136,138442960896,154562179072,148250030080,135646007296,154563014656,112653520896,181563252736,142483861504,189614260224,115300864000,147762860032,157176565760,177128431616,191359918080,151522013184,150458675200,178354798592,164155256832,177558462464,144434888704,159472275456,172275933184,191530954752,183878549504,163540795392,128846098432,198221312000,156737622016,172416417792,148972023808,126979887104,164059877376,185452531712,156623237120,162543624192,148059529216,175783514112,229943169024,134853013504
49,164817965056,138443046912,154562289664,148250120192,135646089216,154563014656,112653631488,181563346944,142483951616,189614260224,115300954112,147762941952,157176664064,177128538112,191360036864,151522095104,150458761216,178354888704,164155371520,177558548480,144434888704,159472275456,172275933184,191530954752,183878549504,163540795392,128846098432,198221312000,156737622016,172416417792,148972113920,126979948544,164059955200,185452597248,156623290368,162543726592,148059590656,175783591936,229943169024,134853054464
50,164818165760,138443206656,154562523136,148250370048,135646310400,154563031040,112653787136,181563531264,142484148224,189614678016,115301191680,147763113984,157176860672,177128878080,191360335872,151522291712,150458961920,178355171328,164155375616,177558781952,144434966528,159472373760,172276084736,191531016192,183878676480,163540869120,128846139392,198221447168,156737712128,172416495616,148972298240,126980153344,164060192768,185452904448,156623831040,162543919104,148059787264,175783821312,229943218176,134853185536
51,164818460672,138443423744,154562768896,148250607616,135646507008,154563031040,112653901824,181563822080,142484418560,189615632384,115301396480,147763376128,157177081856,177129127936,191360540672,151522480128,150459170816,178355400704,164155797504,177559015424,144435326976,159472705536,172276461568,191531450368,183879065600,163541237760,128846401536,198221901824,156738002944,172416786432,148972556288,126980313088,164060454912,185453232128,156624076800,162544226304,148060012544,175784132608,229943218176,134853316608
52,164818649088,138443423744,154562940928,148250808320,135646777344,154563162112,112654036992,181564084224,142484566016,189615898624,115301498880,147763560448,157177348096,177129410560,191360540672,151522775040,150459346944,178355625984,164156018688,177559273472,144435630080,159473102848,172276875264,191531884544,183879434240,163541618688,128846696448,198222327808,156738297856,172417220608,148972720128,126980476928,164060676096,185453527040,156624244736,162544226304,148060196864,175784386560,229944889344,134853328896
53,164818874368,138443440128,154563207168,148251099136,135647019008,154564046848,112654176256,181564428288,142484807680,189616205824,115301748736,147763859456,157177610240,177129680896,191360659456,151522930688,150459617280,178355867648,164156293120,177559502848,144435798016,159473283072,172277043200,191532093440,183879667712,163541770240,128846835712,198222544896,156738490368,172417396736,148973019136,126980640768,164060946432,185453903872,156624560128,162544250880,148060483584,175784738816,229945491456,134853328896
54,164819111936,138443743232,154563391488,148251250688,135647236096,154564329472,112654393344,181564645376,142484987904,189616488448,115301949440,147764092928,157177843712,177129934848,191361343488,151523008512,150459777024,178356146176,164156596224,177559506944,144435941376,159473491968,172277231616,191532118016,183879958528,163541979136,128847003648,198222667776,156738777088,172417699840,148973252608,126980640768,164061257728,185454129152,156624752640,162544762880,148060692480,175784968192,229945819136,134853734400
55,164819152896,138444034048,154563391488,148251324416,135647309824,154564366336,112654475264,181564719104,142485106688,189616553984,115301998592,147764142080,157177884672,177130000384,191361417216,151523008512,150459822080,178356211712,164156649472,177559506944,144436113408,159473664000,172277424128,191532183552,183880183808,163542179840,128847151104,198222667776,156738965504,172417998848,148973309952,126980861952,164061343744,185454227456,156624801792,162544762880,148060770304,175785046016,229945942016,134854000640
56,164819193856,138444075008,154563391488,148251344896,135647334400,154564395008,112654491648,181564719104,142485135360,189616603136,115302002688,147764142080,157177901056,177130024960,191361486848,151523024896,150459838464,178356236288,164156682240,177559506944,144436154368,159473696768,172277465088,191532183552,183880269824,163542233088,128847196160,198222667776,156739006464,172418043904,148973355008,126980861952,164061380608,185454252032,156624809984,162544771072,148060807168,175785062400,229945987072,134854025216
57,164819210240,138444083200,154563391488,148251365376,135647363072,154564411392,112654512128,181564760064,142485155840,189616648192,115302055936,147764199424,157177970688,177130094592,191361536000,151523024896,150459912192,178356305920,164156747776,177559506944,144436207616,159473762304,172277497856,191532183552,183880347648,163542282240,128847241216,198222667776,156739039232,172418134016,148973379584,126980861952,164061409280,185454280704,156624850944,162545180672,148060856320,175785099264,229946048512,134854078464
58,164819488768,138444300288,154563764224,148251586560,135647522816,154564624384,112654708736,181564825600,142485348352,189616885760,115302223872,147764240384,157178155008,177130303488,191361814528,151523397632,150460116992,178356535296,164156989440,177559506944,144436338688,159473881088,172277587968,191532453888,183880466432,163542421504,128847335424,198222667776,156739112960,172418228224,148973604864,126981107712,164061601792,185454571520,156625092608,162545483776,148061110272,175785381888,229946351616,134854221824
59,164819767296,138444484608,154563997696,148251844608,135647760384,154564956160,112654864384,181564825600,142485549056,189617188864,115302359040,147764240384,157178433536,177130545152,191362150400,151523729408,150460411904,178356875264,164157280256,177559871488,144436535296,159474159616,172277919744,191533170688,183880843264,163542618112,128847597568,198222831616,156739321856,172418490368,148973826048,126981341184,164061605888,185454837760,156625371136,162545782784,148061147136,175785709568,229946740736,134854471680
60,164819918848,138444627968,154564145152,148251971584,135647842304,154565091328,112654983168,181564825600,142485655552,189617336320,115302490112,147764240384,157178564608,177130704896,191362355200,151523872768,150460592128,178357035008,164157427712,177560576000,144436535296,159474278400,172278046720,191533359104,183880933376,163542831104,128847679488,198223867904,156739436544,172418813952,148974010368,126981431296,164061605888,185454960640,156625506304,162545926144,148061528064,175785881600,229946974208,134854598656
61,164819943424,138444640256,154564173824,148251983872,135647875072,154565140480,112654991360,181564825600,142485680128,189617360896,115302506496,147764256768,157178589184,177130745856,191362387968,151523889152,150460624896,178357063680,164157456384,177560612864,144436789248,159474339840,172278136832,191533506560,183880933376,163542908928,128847757312,198224003072,156739518464,172418891776,148974039040,126981455872,164061605888,185455005696,156625506304,162545967104,148061569024,175785910272,229947002880,134854615040
62,164820008960,138444705792,154564268032,148252049408,135647944704,154565206016,112655040512,181564944384,142485721088,189617434624,115302547456,147764367360,157178642432,177130819584,191362445312,151523962880,150460661760,178357100544,164157485056,177560662016,144436809728,159474343936,172278140928,191533531136,183880941568,163542913024,128847757312,198224007168,156739518464,172418891776,148974141440,126981513216,164061605888,185455104000,156625592320,162546024448,148061630464,175785943040,229947060224,134854651904
63,164820041728,138444750848,154564292608,148252106752,135648034816,154565292032,112655060992,181564944384,142485811200,189617545216,115302563840,147764899840,157178642432,177130893312,191362539520,151524016128,150460719104,178357207040,164157599744,177560727552,144436924416,159474475008,172278312960,191533723648,183880941568,163543023616,128847863808,198224211968,156739518464,172419035136,148974194688,126981574656,164061605888,185455177728,156625694720,162546094080,148061700096,175786024960,229947215872,134854709248
64,164820205568,138444898304,154564481024,148252270592,135648141312,154565410816,112655134720,181564944384,142485884928,189617688576,115302674432,147765059584,157178642432,177131081728,191362703360,151524163584,150460719104,178357387264,164157771776,177560993792,144436924416,159474581504,172278476800,191533809664,183880949760,163543126016,128847982592,198224408576,156739629056,172419108864,148974333952,126981726208,164062306304,185455325184,156625883136,162546319360,148061814784,175786024960,229947424768,134854832128
