kbinact,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,91092.0,86008.0,86212.0,86348.0,86288.0,86152.0,86192.0,86384.0,86496.0,86416.0,91436.0,91360.0,91312.0,91612.0,90900.0,90904.0,91144.0,91128.0,91460.0,91260.0,86516.0,91840.0,91408.0,91320.0,91316.0,91228.0,91096.0,91432.0,91512.0,91336.0,91312.0,86352.0,90996.0,91400.0,91112.0,91412.0,91236.0,91192.0,91404.0,91052.0,91556.0,91036.0,86404.0,91676.0,91256.0,91044.0,91112.0,91220.0,91324.0,91192.0,90880.0,91300.0,91184.0,89288.0,91216.0,89148.0,89052.0,91100.0,87320.0,90908.0,89020.0,89068.0,91348.0,91008.0,91084.0,91276.0,91552.0,91080.0,91028.0,91192.0,90956.0,91084.0,91088.0,91176.0,91160.0,91328.0,88924.0,88888.0,88932.0,89088.0,89028.0,88612.0,89036.0,88880.0,88712.0,88740.0,88844.0,88888.0,88580.0,88824.0,88976.0,88892.0,88904.0,88576.0,88808.0,88768.0,89048.0,88672.0,88384.0,88636.0,88808.0,89144.0,88544.0,88944.0,88844.0,88904.0,88776.0,88948.0,88632.0,88816.0,88788.0,91480.0,91128.0,91240.0,91544.0,91480.0,91136.0,91200.0,91264.0,91680.0,91232.0,91172.0,91204.0,91452.0,91468.0,91324.0,91068.0,91252.0,91160.0,91612.0,91556.0,91376.0,91468.0,91740.0,91656.0,91368.0,91108.0,91320.0,91236.0,91184.0
1,91096.0,86020.0,86212.0,86352.0,86300.0,86168.0,86220.0,86384.0,86512.0,86416.0,91460.0,91372.0,91324.0,91612.0,90912.0,90916.0,91144.0,91128.0,91476.0,91260.0,86520.0,91852.0,91420.0,91336.0,91328.0,91228.0,91112.0,91456.0,91524.0,91348.0,91324.0,86372.0,91012.0,91420.0,91124.0,91412.0,91260.0,91200.0,91424.0,91064.0,91556.0,91048.0,86404.0,91688.0,91268.0,91048.0,91124.0,91228.0,91324.0,91204.0,90892.0,91312.0,91200.0,89288.0,91236.0,89160.0,89068.0,91112.0,87340.0,90924.0,89040.0,89084.0,91364.0,91020.0,91084.0,91296.0,91564.0,91080.0,91044.0,91212.0,90988.0,91096.0,91088.0,91180.0,91184.0,91344.0,88940.0,88888.0,88944.0,89100.0,89044.0,88628.0,89036.0,88888.0,89008.0,88756.0,88856.0,88904.0,88596.0,88828.0,88980.0,88912.0,88928.0,88576.0,88808.0,88768.0,89060.0,88672.0,88404.0,88648.0,88832.0,89152.0,88572.0,88944.0,88900.0,88912.0,88776.0,88952.0,88672.0,88816.0,88812.0,91500.0,91140.0,91256.0,91564.0,91504.0,91168.0,91216.0,91272.0,91692.0,91244.0,91172.0,91212.0,91464.0,91472.0,91328.0,91076.0,91264.0,91184.0,91608.0,91556.0,91380.0,91484.0,91764.0,91672.0,91440.0,91108.0,91336.0,91264.0,91460.0
2,91116.0,86048.0,86240.0,86368.0,86328.0,86164.0,86216.0,86412.0,86512.0,86428.0,91472.0,91372.0,91324.0,91636.0,90924.0,90928.0,91168.0,91152.0,91484.0,91284.0,86536.0,91864.0,91432.0,91344.0,91328.0,91252.0,91120.0,91472.0,91536.0,91348.0,91336.0,86372.0,91020.0,91432.0,91136.0,91432.0,91272.0,91212.0,91436.0,91076.0,91580.0,91056.0,86428.0,91688.0,91280.0,91068.0,91136.0,91228.0,91348.0,91204.0,90912.0,91324.0,91220.0,89288.0,91236.0,89160.0,89084.0,91124.0,87344.0,90924.0,89040.0,89092.0,91364.0,91020.0,91108.0,91296.0,91576.0,91100.0,91056.0,91240.0,91000.0,91108.0,91112.0,91196.0,91184.0,91344.0,88952.0,88908.0,88952.0,89112.0,89056.0,88640.0,89056.0,88900.0,89028.0,88784.0,88876.0,88912.0,88604.0,88844.0,88996.0,88924.0,88928.0,88868.0,88832.0,88792.0,89068.0,88724.0,88668.0,88664.0,88840.0,89152.0,88604.0,88964.0,88904.0,88924.0,88796.0,88952.0,88676.0,88840.0,88808.0,91500.0,91148.0,91264.0,91564.0,91516.0,91180.0,91232.0,91300.0,91704.0,91244.0,91184.0,91244.0,91464.0,91488.0,91348.0,91100.0,91264.0,91184.0,91636.0,91568.0,91396.0,91484.0,91776.0,91676.0,91664.0,91132.0,91344.0,91540.0,91500.0
3,91128.0,86064.0,86240.0,86376.0,86328.0,86200.0,86248.0,86412.0,86540.0,86460.0,91484.0,91396.0,91344.0,91636.0,90924.0,90928.0,91184.0,91164.0,91504.0,91300.0,86552.0,91880.0,91432.0,91364.0,91340.0,91268.0,91140.0,91488.0,91536.0,91368.0,91336.0,86400.0,91032.0,91440.0,91136.0,91444.0,91280.0,91232.0,91436.0,91108.0,91580.0,91076.0,86456.0,91704.0,91300.0,91076.0,91152.0,91260.0,91348.0,91228.0,90936.0,91324.0,91232.0,89336.0,91256.0,89192.0,89092.0,91124.0,87384.0,90944.0,89060.0,89104.0,91392.0,91040.0,91108.0,91320.0,91576.0,91116.0,91064.0,91244.0,91008.0,91108.0,91120.0,91196.0,91204.0,91364.0,88952.0,88908.0,88964.0,89128.0,89072.0,88640.0,89076.0,88920.0,89044.0,88784.0,88888.0,88932.0,88624.0,88852.0,89000.0,88940.0,88952.0,88908.0,88840.0,88792.0,89080.0,88724.0,88708.0,88676.0,88848.0,89172.0,88632.0,88988.0,88936.0,88952.0,88800.0,88972.0,88704.0,88848.0,88832.0,91520.0,91164.0,91276.0,91580.0,91516.0,91180.0,91244.0,91316.0,91704.0,91272.0,91204.0,91244.0,91492.0,91488.0,91368.0,91100.0,91280.0,91208.0,91652.0,91596.0,91396.0,91496.0,91788.0,91696.0,91684.0,91156.0,91364.0,91540.0,91500.0
4,91128.0,86064.0,86276.0,86396.0,86352.0,86200.0,86260.0,86424.0,86556.0,86468.0,91504.0,91412.0,91368.0,91668.0,90948.0,90960.0,91196.0,91164.0,91516.0,91300.0,86552.0,91880.0,91464.0,91376.0,91372.0,91268.0,91152.0,91496.0,91568.0,91392.0,91368.0,86400.0,91052.0,91464.0,91168.0,91464.0,91304.0,91260.0,91468.0,91108.0,91612.0,91088.0,86460.0,91720.0,91312.0,91088.0,91168.0,91260.0,91380.0,91228.0,90936.0,91356.0,91252.0,89336.0,91256.0,89192.0,89104.0,91156.0,87376.0,90952.0,89084.0,89124.0,91404.0,91060.0,91140.0,91336.0,91604.0,91132.0,91088.0,91244.0,91008.0,91132.0,91136.0,91216.0,91204.0,91364.0,88980.0,88940.0,88980.0,89128.0,89084.0,88668.0,89076.0,88932.0,89052.0,88808.0,88900.0,88944.0,88636.0,88872.0,89024.0,88940.0,88952.0,88916.0,88864.0,88824.0,89100.0,88976.0,88720.0,88684.0,88872.0,89172.0,88740.0,88996.0,88944.0,88968.0,88824.0,88996.0,88740.0,88876.0,88852.0,91520.0,91180.0,91296.0,91596.0,91544.0,91204.0,91252.0,91316.0,91732.0,91280.0,91204.0,91252.0,91508.0,91516.0,91368.0,91136.0,91304.0,91208.0,91652.0,91612.0,91428.0,91512.0,91788.0,91708.0,91700.0,91268.0,91376.0,91576.0,91532.0
5,91152.0,86088.0,86284.0,86396.0,86368.0,86220.0,86260.0,86452.0,86564.0,86484.0,91516.0,91420.0,91376.0,91672.0,91088.0,90960.0,91208.0,91188.0,91528.0,91324.0,86576.0,91904.0,91464.0,91388.0,91372.0,91292.0,91164.0,91512.0,91568.0,91400.0,91368.0,86424.0,91064.0,91472.0,91168.0,91476.0,91312.0,91264.0,91476.0,91132.0,91620.0,91100.0,86476.0,91744.0,91324.0,91112.0,91176.0,91284.0,91380.0,91248.0,90960.0,91356.0,91252.0,89340.0,91288.0,89212.0,89124.0,91156.0,87388.0,90964.0,89092.0,89132.0,91416.0,91060.0,91148.0,91344.0,91620.0,91144.0,91108.0,91268.0,91032.0,91148.0,91152.0,91236.0,91228.0,91384.0,88980.0,88948.0,88984.0,89148.0,89084.0,88668.0,89100.0,88944.0,89068.0,88824.0,88912.0,88956.0,88656.0,88884.0,89032.0,88964.0,88976.0,88932.0,88864.0,88832.0,89108.0,88976.0,88736.0,88700.0,88884.0,89204.0,88768.0,89012.0,88960.0,88968.0,88832.0,89004.0,88768.0,88880.0,88864.0,91544.0,91188.0,91296.0,91604.0,91560.0,91212.0,91268.0,91340.0,91744.0,91296.0,91244.0,91276.0,91508.0,91524.0,91392.0,91140.0,91304.0,91228.0,91676.0,91620.0,91428.0,91536.0,91816.0,91720.0,91704.0,91428.0,91388.0,91576.0,91540.0
6,91164.0,86100.0,86300.0,86420.0,86368.0,86228.0,86288.0,86464.0,86580.0,86484.0,91524.0,91432.0,91376.0,91684.0,91256.0,90980.0,91220.0,91188.0,91528.0,91336.0,86576.0,91920.0,91484.0,91396.0,91380.0,91304.0,91172.0,91512.0,91592.0,91412.0,91388.0,86424.0,91072.0,91488.0,91188.0,91484.0,91328.0,91280.0,91488.0,91132.0,91636.0,91104.0,86476.0,91744.0,91336.0,91120.0,91192.0,91292.0,91404.0,91260.0,90960.0,91376.0,91264.0,89368.0,91300.0,89224.0,89136.0,91176.0,87396.0,90984.0,89092.0,89148.0,91420.0,91084.0,91164.0,91360.0,91628.0,91156.0,91108.0,91288.0,91052.0,91148.0,91164.0,91236.0,91256.0,91404.0,89012.0,88960.0,89004.0,89160.0,89108.0,88692.0,89112.0,88948.0,89068.0,88824.0,88916.0,88956.0,88660.0,88892.0,89032.0,88964.0,88976.0,88944.0,88884.0,88832.0,89124.0,89040.0,88748.0,88716.0,88884.0,89216.0,88792.0,89024.0,88960.0,88992.0,88844.0,89016.0,89020.0,88892.0,88880.0,91564.0,91208.0,91312.0,91624.0,91556.0,91212.0,91276.0,91356.0,91744.0,91304.0,91252.0,91296.0,91524.0,91524.0,91400.0,91156.0,91324.0,91236.0,91692.0,91636.0,91448.0,91552.0,91816.0,91728.0,91724.0,91428.0,91388.0,91596.0,91552.0
7,91172.0,86100.0,86300.0,86420.0,86380.0,86256.0,86288.0,86464.0,86592.0,86496.0,91544.0,91448.0,91400.0,91704.0,91268.0,90992.0,91228.0,91216.0,91556.0,91352.0,86596.0,91920.0,91496.0,91416.0,91400.0,91316.0,91192.0,91524.0,91604.0,91420.0,91404.0,86444.0,91092.0,91500.0,91200.0,91504.0,91340.0,91280.0,91500.0,91148.0,91648.0,91124.0,86500.0,91772.0,91356.0,91128.0,91204.0,91300.0,91416.0,91272.0,90968.0,91388.0,91284.0,89376.0,91308.0,89244.0,89144.0,91188.0,87416.0,90984.0,89120.0,89164.0,91440.0,91096.0,91176.0,91372.0,91648.0,91156.0,91120.0,91300.0,91060.0,91168.0,91176.0,91256.0,91268.0,91404.0,89020.0,88960.0,89024.0,89172.0,89116.0,88704.0,89112.0,88972.0,89088.0,88836.0,88936.0,88980.0,88684.0,88900.0,89060.0,88984.0,88996.0,88944.0,88900.0,88860.0,89132.0,89048.0,88756.0,88728.0,88912.0,89232.0,88820.0,89028.0,88972.0,88992.0,88860.0,89032.0,89032.0,88904.0,88892.0,91580.0,91216.0,91332.0,91640.0,91588.0,91240.0,91304.0,91360.0,91768.0,91320.0,91252.0,91304.0,91540.0,91544.0,91408.0,91168.0,91340.0,91264.0,91704.0,91648.0,91448.0,91564.0,91840.0,91748.0,91736.0,91444.0,91408.0,91612.0,91564.0
8,91188.0,86132.0,86312.0,86448.0,86408.0,86248.0,86304.0,86496.0,86616.0,86528.0,91548.0,91448.0,91400.0,91704.0,91288.0,91012.0,91260.0,91232.0,91572.0,91376.0,86620.0,91948.0,91524.0,91428.0,91420.0,91344.0,91204.0,91556.0,91604.0,91432.0,91404.0,86472.0,91096.0,91500.0,91224.0,91508.0,91340.0,91292.0,91528.0,91160.0,91664.0,91136.0,86516.0,91772.0,91364.0,91152.0,91220.0,91316.0,91416.0,91272.0,90984.0,91408.0,91296.0,89376.0,91328.0,89256.0,89164.0,91196.0,87448.0,91012.0,89120.0,89164.0,91452.0,91096.0,91192.0,91388.0,91664.0,91180.0,91128.0,91300.0,91080.0,91188.0,91192.0,91276.0,91268.0,91428.0,89032.0,88992.0,89032.0,89200.0,89132.0,88728.0,89144.0,88968.0,89116.0,88856.0,88952.0,88992.0,88696.0,88920.0,89060.0,88996.0,89012.0,88976.0,88900.0,88868.0,89152.0,89068.0,88776.0,88740.0,88912.0,89232.0,88840.0,89048.0,89008.0,89004.0,88876.0,89032.0,89036.0,88916.0,88884.0,91596.0,91232.0,91352.0,91656.0,91580.0,91260.0,91308.0,91380.0,91768.0,91336.0,91260.0,91316.0,91540.0,91564.0,91432.0,91172.0,91356.0,91268.0,91704.0,91656.0,91476.0,91564.0,91864.0,91760.0,91736.0,91464.0,91420.0,91624.0,91592.0
9,91200.0,86140.0,86344.0,86448.0,86412.0,86276.0,86332.0,86496.0,86624.0,86536.0,91572.0,91476.0,91428.0,91724.0,91304.0,91024.0,91264.0,91232.0,91572.0,91384.0,86632.0,91948.0,91528.0,91444.0,91420.0,91348.0,91224.0,91556.0,91636.0,91456.0,91436.0,86480.0,91112.0,91528.0,91236.0,91536.0,91372.0,91324.0,91536.0,91184.0,91664.0,91156.0,86516.0,91784.0,91384.0,91160.0,91236.0,91344.0,91448.0,91304.0,91008.0,91424.0,91324.0,89396.0,91336.0,89268.0,89180.0,91196.0,87448.0,91028.0,89152.0,89192.0,91472.0,91124.0,91192.0,91388.0,91676.0,91196.0,91144.0,91316.0,91084.0,91196.0,91196.0,91280.0,91288.0,91436.0,89048.0,89004.0,89048.0,89204.0,89144.0,88740.0,89144.0,88996.0,89112.0,88856.0,88964.0,89004.0,88720.0,88932.0,89088.0,88996.0,89028.0,88984.0,88932.0,88888.0,89164.0,89084.0,88780.0,88748.0,88940.0,89260.0,88864.0,89060.0,89012.0,89012.0,88888.0,89060.0,89064.0,88936.0,88912.0,91604.0,91232.0,91356.0,91660.0,91596.0,91264.0,91324.0,91380.0,91804.0,91348.0,91284.0,91316.0,91564.0,91580.0,91436.0,91172.0,91368.0,91284.0,91736.0,91656.0,91488.0,91580.0,91872.0,91772.0,91768.0,91480.0,91436.0,91624.0,91608.0
10,91220.0,86148.0,86352.0,86480.0,86428.0,86276.0,86328.0,86500.0,86624.0,86536.0,91580.0,91488.0,91440.0,91736.0,91312.0,91036.0,91276.0,91256.0,91588.0,91384.0,86644.0,91964.0,91540.0,91452.0,91436.0,91348.0,91228.0,91560.0,91644.0,91456.0,91444.0,86480.0,91128.0,91540.0,91236.0,91540.0,91372.0,91324.0,91536.0,91184.0,91684.0,91160.0,86536.0,91796.0,91388.0,91176.0,91236.0,91340.0,91456.0,91316.0,91008.0,91432.0,91328.0,89396.0,91360.0,89276.0,89180.0,91228.0,87452.0,91028.0,89160.0,89204.0,91476.0,91140.0,91216.0,91408.0,91684.0,91204.0,91168.0,91316.0,91084.0,91208.0,91216.0,91308.0,91288.0,91452.0,89048.0,89012.0,89048.0,89204.0,89156.0,88748.0,89164.0,89008.0,89116.0,88876.0,88968.0,89012.0,88716.0,88948.0,89100.0,89028.0,89040.0,88992.0,88940.0,88888.0,89172.0,89084.0,88800.0,88768.0,88940.0,89260.0,88884.0,89068.0,89020.0,89044.0,88900.0,89072.0,89064.0,88948.0,88912.0,91612.0,91256.0,91368.0,91672.0,91612.0,91264.0,91332.0,91404.0,91816.0,91356.0,91284.0,91328.0,91576.0,91588.0,91444.0,91192.0,91380.0,91292.0,91736.0,91688.0,91504.0,91596.0,91872.0,91784.0,91776.0,91488.0,91444.0,91648.0,91616.0
11,91224.0,86164.0,86360.0,86480.0,86428.0,86296.0,86356.0,86528.0,86640.0,86544.0,91592.0,91496.0,91440.0,91736.0,91320.0,91044.0,91284.0,91264.0,91604.0,91400.0,86652.0,91980.0,91548.0,91464.0,91436.0,91368.0,91240.0,91588.0,91644.0,91472.0,91452.0,86496.0,91140.0,91548.0,91252.0,91540.0,91388.0,91340.0,91552.0,91208.0,91692.0,91172.0,86536.0,91820.0,91400.0,91188.0,91252.0,91364.0,91456.0,91324.0,91032.0,91440.0,91328.0,89416.0,91368.0,89276.0,89200.0,91228.0,87464.0,91040.0,89168.0,89204.0,91488.0,91148.0,91216.0,91416.0,91692.0,91220.0,91184.0,91336.0,91112.0,91208.0,91216.0,91312.0,91312.0,91464.0,89068.0,89024.0,89072.0,89224.0,89164.0,88756.0,89180.0,89020.0,89144.0,88876.0,88984.0,89024.0,88728.0,88956.0,89108.0,89036.0,89048.0,89008.0,88940.0,88908.0,89180.0,89100.0,88800.0,88780.0,88952.0,89272.0,88884.0,89084.0,89036.0,89044.0,88900.0,89080.0,89072.0,88948.0,88932.0,91628.0,91264.0,91380.0,91688.0,91636.0,91292.0,91344.0,91412.0,91824.0,91368.0,91300.0,91348.0,91576.0,91596.0,91468.0,91212.0,91388.0,91304.0,91756.0,91688.0,91504.0,91612.0,91888.0,91796.0,91784.0,91492.0,91456.0,91648.0,91624.0
12,91240.0,86180.0,86360.0,86496.0,86440.0,86296.0,86356.0,86544.0,86656.0,86576.0,91592.0,91496.0,91456.0,91756.0,91336.0,91044.0,91284.0,91264.0,91616.0,91416.0,86652.0,91996.0,91548.0,91476.0,91452.0,91384.0,91252.0,91588.0,91668.0,91488.0,91468.0,86496.0,91152.0,91564.0,91268.0,91564.0,91404.0,91340.0,91568.0,91208.0,91708.0,91184.0,86548.0,91820.0,91412.0,91188.0,91252.0,91376.0,91480.0,91336.0,91032.0,91456.0,91352.0,89440.0,91380.0,89308.0,89216.0,91252.0,87476.0,91064.0,89168.0,89224.0,91500.0,91160.0,91240.0,91416.0,91692.0,91228.0,91184.0,91364.0,91112.0,91228.0,91240.0,91324.0,91312.0,91464.0,89084.0,89040.0,89084.0,89224.0,89164.0,88756.0,89188.0,89028.0,89144.0,88900.0,88996.0,89036.0,88740.0,88964.0,89108.0,89052.0,89064.0,89016.0,88964.0,88908.0,89192.0,89100.0,88824.0,88788.0,88972.0,89288.0,88912.0,89088.0,89036.0,89052.0,88924.0,89080.0,89080.0,88972.0,88932.0,91644.0,91264.0,91392.0,91688.0,91636.0,91292.0,91364.0,91428.0,91824.0,91380.0,91324.0,91372.0,91600.0,91596.0,91480.0,91228.0,91388.0,91324.0,91772.0,91712.0,91528.0,91624.0,91904.0,91808.0,91800.0,91492.0,91468.0,91672.0,91640.0
13,91248.0,86192.0,86372.0,86496.0,86476.0,86328.0,86372.0,86564.0,86672.0,86592.0,91616.0,91520.0,91464.0,91764.0,91336.0,91068.0,91308.0,91296.0,91636.0,91432.0,86676.0,91996.0,91580.0,91496.0,91484.0,91384.0,91272.0,91624.0,91684.0,91488.0,91476.0,86528.0,91152.0,91572.0,91268.0,91576.0,91412.0,91356.0,91584.0,91240.0,91724.0,91204.0,86572.0,91856.0,91432.0,91208.0,91284.0,91376.0,91480.0,91356.0,91060.0,91456.0,91352.0,89460.0,91392.0,89320.0,89216.0,91260.0,87516.0,91076.0,89192.0,89236.0,91520.0,91172.0,91240.0,91448.0,91724.0,91244.0,91204.0,91372.0,91136.0,91228.0,91248.0,91336.0,91336.0,91488.0,89084.0,89048.0,89084.0,89256.0,89196.0,88792.0,89208.0,89048.0,89172.0,88916.0,89016.0,89036.0,88764.0,88976.0,89132.0,89052.0,89072.0,89036.0,88972.0,88932.0,89204.0,89124.0,88836.0,88804.0,88972.0,89296.0,88912.0,89112.0,89064.0,89076.0,88924.0,89104.0,89100.0,88972.0,88956.0,91644.0,91276.0,91404.0,91712.0,91648.0,91316.0,91376.0,91444.0,91848.0,91400.0,91336.0,91380.0,91616.0,91620.0,91480.0,91236.0,91412.0,91336.0,91772.0,91720.0,91536.0,91640.0,91916.0,91828.0,91816.0,91516.0,91488.0,91672.0,91656.0
14,91272.0,86204.0,86404.0,86528.0,86484.0,86328.0,86384.0,86568.0,86672.0,86600.0,91636.0,91540.0,91480.0,91784.0,91368.0,91088.0,91328.0,91308.0,91648.0,91432.0,86696.0,92032.0,91580.0,91496.0,91496.0,91412.0,91284.0,91628.0,91696.0,91516.0,91476.0,86528.0,91184.0,91592.0,91296.0,91596.0,91432.0,91384.0,91596.0,91248.0,91736.0,91216.0,86592.0,91860.0,91444.0,91228.0,91284.0,91404.0,91508.0,91356.0,91072.0,91484.0,91384.0,89460.0,91404.0,89320.0,89236.0,91260.0,87512.0,91076.0,89192.0,89256.0,91528.0,91192.0,91268.0,91448.0,91732.0,91260.0,91204.0,91384.0,91148.0,91248.0,91248.0,91348.0,91336.0,91488.0,89112.0,89068.0,89116.0,89268.0,89208.0,88808.0,89220.0,89060.0,89184.0,88928.0,89028.0,89068.0,88776.0,88996.0,89152.0,89080.0,89092.0,89036.0,88972.0,88952.0,89224.0,89144.0,88836.0,88812.0,89000.0,89316.0,88952.0,89120.0,89064.0,89096.0,88952.0,89104.0,89124.0,89000.0,88956.0,91664.0,91308.0,91432.0,91724.0,91680.0,91328.0,91388.0,91456.0,91848.0,91412.0,91336.0,91392.0,91616.0,91640.0,91516.0,91256.0,91432.0,91336.0,91788.0,91740.0,91556.0,91652.0,91916.0,91840.0,91828.0,91544.0,91500.0,91700.0,91656.0
15,91272.0,86204.0,86416.0,86528.0,86496.0,86348.0,86384.0,86568.0,86696.0,86612.0,91648.0,91540.0,91492.0,91796.0,91368.0,91100.0,91328.0,91320.0,91660.0,91456.0,86704.0,92036.0,91596.0,91520.0,91508.0,91420.0,91296.0,91628.0,91708.0,91528.0,91508.0,86552.0,91184.0,91592.0,91308.0,91608.0,91444.0,91396.0,91596.0,91260.0,91752.0,91224.0,86592.0,91860.0,91456.0,91228.0,91304.0,91416.0,91524.0,91380.0,91084.0,91484.0,91384.0,89472.0,91424.0,89344.0,89256.0,91292.0,87520.0,91108.0,89224.0,89264.0,91540.0,91192.0,91280.0,91472.0,91744.0,91260.0,91236.0,91396.0,91148.0,91268.0,91280.0,91348.0,91360.0,91508.0,89124.0,89068.0,89128.0,89268.0,89208.0,88808.0,89228.0,89068.0,89192.0,88928.0,89036.0,89080.0,88784.0,89004.0,89164.0,89080.0,89104.0,89048.0,89004.0,88952.0,89232.0,89156.0,88868.0,88832.0,89012.0,89328.0,88952.0,89132.0,89088.0,89104.0,88964.0,89132.0,89124.0,89012.0,88988.0,91676.0,91308.0,91436.0,91736.0,91680.0,91328.0,91400.0,91456.0,91876.0,91424.0,91372.0,91392.0,91640.0,91640.0,91512.0,91256.0,91432.0,91364.0,91808.0,91740.0,91556.0,91652.0,91936.0,91852.0,91840.0,91544.0,91512.0,91700.0,91668.0
16,91296.0,86212.0,86416.0,86552.0,86512.0,86348.0,86396.0,86580.0,86708.0,86628.0,91656.0,91552.0,91500.0,91808.0,91388.0,91112.0,91352.0,91320.0,91668.0,91468.0,86720.0,92036.0,91608.0,91532.0,91520.0,91432.0,91304.0,91656.0,91720.0,91540.0,91520.0,86564.0,91204.0,91616.0,91320.0,91616.0,91444.0,91408.0,91624.0,91260.0,91764.0,91232.0,86620.0,91872.0,91464.0,91248.0,91304.0,91416.0,91536.0,91392.0,91084.0,91508.0,91404.0,89500.0,91432.0,89344.0,89268.0,91292.0,87528.0,91108.0,89224.0,89280.0,91552.0,91212.0,91292.0,91484.0,91744.0,91280.0,91248.0,91396.0,91176.0,91280.0,91292.0,91380.0,91388.0,91524.0,89124.0,89092.0,89128.0,89288.0,89232.0,88832.0,89228.0,89080.0,89192.0,88956.0,89044.0,89088.0,88792.0,89016.0,89164.0,89100.0,89104.0,89076.0,89016.0,88976.0,89248.0,89156.0,88880.0,88844.0,89024.0,89328.0,88988.0,89132.0,89088.0,89112.0,88976.0,89144.0,89128.0,89012.0,88996.0,91692.0,91320.0,91448.0,91756.0,91704.0,91360.0,91408.0,91468.0,91888.0,91436.0,91388.0,91404.0,91652.0,91664.0,91520.0,91280.0,91456.0,91380.0,91808.0,91764.0,91580.0,91664.0,91936.0,91860.0,91852.0,91556.0,91520.0,91724.0,91668.0
17,91296.0,86248.0,86424.0,86548.0,86512.0,86376.0,86424.0,86596.0,86724.0,86644.0,91676.0,91580.0,91516.0,91824.0,91388.0,91112.0,91368.0,91348.0,91684.0,91480.0,86736.0,92060.0,91608.0,91532.0,91520.0,91448.0,91324.0,91672.0,91720.0,91556.0,91520.0,86580.0,91224.0,91616.0,91320.0,91636.0,91472.0,91424.0,91640.0,91292.0,91764.0,91252.0,86620.0,91904.0,91484.0,91248.0,91332.0,91440.0,91552.0,91404.0,91116.0,91508.0,91412.0,89508.0,91440.0,89376.0,89276.0,91320.0,87548.0,91124.0,89252.0,89296.0,91564.0,91212.0,91292.0,91500.0,91768.0,91296.0,91256.0,91412.0,91192.0,91280.0,91308.0,91392.0,91396.0,91548.0,89152.0,89092.0,89152.0,89304.0,89232.0,88832.0,89252.0,89092.0,89216.0,88964.0,89056.0,89104.0,88808.0,89024.0,89192.0,89116.0,89132.0,89076.0,89016.0,88992.0,89260.0,89184.0,88892.0,88856.0,89040.0,89356.0,89040.0,89148.0,89112.0,89132.0,88976.0,89160.0,89140.0,89040.0,88996.0,91692.0,91348.0,91460.0,91756.0,91712.0,91376.0,91432.0,91492.0,91888.0,91444.0,91392.0,91440.0,91668.0,91680.0,91552.0,91296.0,91456.0,91400.0,91836.0,91780.0,91580.0,91692.0,91964.0,91876.0,91852.0,91572.0,91540.0,91736.0,91696.0
