kbbuffers,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,24436.0,23068.0,24108.0,24104.0,24164.0,23584.0,23184.0,23692.0,24164.0,23980.0,24476.0,24560.0,24172.0,24380.0,24264.0,23744.0,24812.0,21404.0,24632.0,24808.0,24448.0,25212.0,24728.0,25124.0,27564.0,24628.0,24956.0,24832.0,24996.0,24588.0,24496.0,23404.0,23904.0,24820.0,24140.0,24688.0,24424.0,24092.0,25116.0,24164.0,26288.0,24352.0,23760.0,25896.0,24140.0,24480.0,24176.0,25560.0,27160.0,23516.0,23156.0,27212.0,23504.0,24060.0,25488.0,24328.0,24052.0,23920.0,23384.0,24096.0,24332.0,24232.0,24176.0,23588.0,24720.0,24328.0,23668.0,24252.0,24180.0,24296.0,24216.0,24892.0,24360.0,23788.0,23692.0,24312.0,23728.0,24004.0,24420.0,24524.0,24628.0,23892.0,24532.0,24484.0,23812.0,24172.0,23696.0,23948.0,24296.0,24260.0,23980.0,24068.0,24156.0,22800.0,23660.0,24576.0,24300.0,24264.0,24016.0,24312.0,24224.0,24172.0,24272.0,23948.0,23804.0,23792.0,24328.0,23916.0,23608.0,24368.0,24096.0,25196.0,24448.0,24588.0,25404.0,24912.0,24224.0,24892.0,25476.0,25044.0,25028.0,24692.0,24880.0,25284.0,24644.0,24476.0,25124.0,25168.0,24692.0,24028.0,24304.0,25376.0,25056.0,24316.0,24916.0,24104.0,23980.0,24636.0,24084.0,25008.0
1,24436.0,23068.0,24108.0,24104.0,24164.0,23584.0,23184.0,23692.0,24164.0,23980.0,24476.0,24560.0,24172.0,24380.0,24268.0,23744.0,24812.0,21404.0,24632.0,24808.0,24448.0,25212.0,24728.0,25124.0,27564.0,24628.0,24956.0,24832.0,24996.0,24588.0,24496.0,23404.0,23904.0,24820.0,24140.0,24688.0,24424.0,24092.0,25116.0,24164.0,26288.0,24352.0,23760.0,25896.0,24140.0,24480.0,24176.0,25560.0,27160.0,23516.0,23156.0,27212.0,23504.0,24060.0,25488.0,24328.0,24052.0,23920.0,23384.0,24096.0,24332.0,24232.0,24176.0,23588.0,24720.0,24328.0,23668.0,24252.0,24180.0,24304.0,24224.0,24892.0,24360.0,23788.0,23692.0,24320.0,23728.0,24004.0,24420.0,24524.0,24628.0,23892.0,24532.0,24484.0,24112.0,24172.0,23696.0,23948.0,24296.0,24260.0,23980.0,24068.0,24156.0,22804.0,23660.0,24576.0,24300.0,24276.0,24056.0,24312.0,24224.0,24172.0,24292.0,23948.0,23856.0,23792.0,24328.0,23916.0,23624.0,24368.0,24096.0,25204.0,24448.0,24588.0,25412.0,24912.0,24232.0,24900.0,25476.0,25044.0,25028.0,24692.0,24880.0,25284.0,24644.0,24476.0,25124.0,25168.0,24700.0,24028.0,24304.0,25376.0,25056.0,24316.0,24916.0,24180.0,23984.0,24636.0,24108.0,25304.0
2,24436.0,23076.0,24108.0,24104.0,24172.0,23592.0,23192.0,23700.0,24164.0,23988.0,24476.0,24560.0,24172.0,24380.0,24268.0,23744.0,24812.0,21404.0,24640.0,24808.0,24448.0,25212.0,24728.0,25132.0,27564.0,24628.0,24964.0,24840.0,24996.0,24588.0,24496.0,23404.0,23904.0,24820.0,24140.0,24688.0,24424.0,24092.0,25116.0,24172.0,26288.0,24360.0,23760.0,25904.0,24148.0,24488.0,24176.0,25568.0,27160.0,23516.0,23164.0,27212.0,23504.0,24060.0,25488.0,24336.0,24052.0,23920.0,23384.0,24096.0,24332.0,24232.0,24184.0,23588.0,24720.0,24328.0,23676.0,24252.0,24180.0,24304.0,24224.0,24892.0,24360.0,23788.0,23692.0,24320.0,23728.0,24004.0,24420.0,24524.0,24628.0,23892.0,24540.0,24484.0,24120.0,24180.0,23704.0,23956.0,24304.0,24260.0,23980.0,24068.0,24156.0,23112.0,23660.0,24576.0,24300.0,24308.0,24284.0,24312.0,24224.0,24172.0,24304.0,23948.0,23864.0,23792.0,24328.0,23916.0,23628.0,24368.0,24096.0,25204.0,24448.0,24588.0,25412.0,24912.0,24232.0,24900.0,25476.0,25044.0,25028.0,24692.0,24888.0,25284.0,24644.0,24484.0,25124.0,25168.0,24700.0,24028.0,24304.0,25376.0,25056.0,24316.0,24924.0,24400.0,23988.0,24644.0,24372.0,25304.0
3,24444.0,23076.0,24116.0,24112.0,24172.0,23592.0,23192.0,23700.0,24172.0,23988.0,24484.0,24568.0,24172.0,24380.0,24272.0,23744.0,24820.0,21412.0,24640.0,24816.0,24456.0,25220.0,24736.0,25132.0,27572.0,24636.0,24964.0,24840.0,25004.0,24588.0,24496.0,23412.0,23912.0,24820.0,24140.0,24696.0,24424.0,24092.0,25124.0,24172.0,26296.0,24360.0,23768.0,25904.0,24148.0,24488.0,24184.0,25568.0,27168.0,23524.0,23164.0,27212.0,23512.0,24068.0,25488.0,24336.0,24052.0,23920.0,23392.0,24104.0,24332.0,24240.0,24184.0,23596.0,24728.0,24336.0,23676.0,24252.0,24180.0,24304.0,24224.0,24892.0,24360.0,23788.0,23692.0,24320.0,23728.0,24004.0,24428.0,24532.0,24636.0,23900.0,24540.0,24492.0,24120.0,24180.0,23704.0,23956.0,24304.0,24268.0,23988.0,24076.0,24164.0,23112.0,23668.0,24576.0,24308.0,24308.0,24320.0,24312.0,24224.0,24180.0,24328.0,23956.0,23864.0,23800.0,24336.0,23924.0,23656.0,24368.0,24104.0,25204.0,24456.0,24596.0,25412.0,24912.0,24232.0,24900.0,25484.0,25044.0,25036.0,24692.0,24888.0,25292.0,24652.0,24484.0,25124.0,25176.0,24700.0,24036.0,24312.0,25384.0,25064.0,24324.0,24924.0,24408.0,24000.0,24644.0,24380.0,25312.0
4,24444.0,23076.0,24116.0,24112.0,24172.0,23592.0,23192.0,23700.0,24172.0,23988.0,24484.0,24568.0,24180.0,24388.0,24284.0,23752.0,24820.0,21412.0,24640.0,24816.0,24456.0,25220.0,24736.0,25132.0,27572.0,24636.0,24964.0,24840.0,25004.0,24596.0,24504.0,23412.0,23912.0,24828.0,24148.0,24696.0,24432.0,24100.0,25124.0,24172.0,26296.0,24360.0,23768.0,25904.0,24148.0,24488.0,24184.0,25568.0,27168.0,23524.0,23164.0,27220.0,23512.0,24068.0,25496.0,24336.0,24060.0,23928.0,23392.0,24104.0,24340.0,24240.0,24184.0,23596.0,24728.0,24336.0,23676.0,24260.0,24180.0,24304.0,24224.0,24892.0,24360.0,23788.0,23692.0,24320.0,23736.0,24012.0,24428.0,24532.0,24636.0,23900.0,24540.0,24492.0,24120.0,24180.0,23704.0,23956.0,24308.0,24268.0,23988.0,24076.0,24164.0,23112.0,23668.0,24584.0,24308.0,24544.0,24328.0,24320.0,24232.0,24180.0,24416.0,23956.0,23864.0,23800.0,24336.0,23924.0,23668.0,24376.0,24104.0,25204.0,24456.0,24596.0,25412.0,24920.0,24232.0,24900.0,25484.0,25052.0,25036.0,24692.0,24888.0,25292.0,24652.0,24484.0,25132.0,25176.0,24700.0,24036.0,24312.0,25384.0,25064.0,24324.0,24924.0,24408.0,24108.0,24644.0,24380.0,25312.0
5,24444.0,23076.0,24116.0,24112.0,24172.0,23592.0,23192.0,23700.0,24172.0,23988.0,24484.0,24568.0,24180.0,24388.0,24428.0,23752.0,24820.0,21412.0,24640.0,24816.0,24456.0,25220.0,24736.0,25132.0,27572.0,24636.0,24964.0,24840.0,25004.0,24596.0,24504.0,23412.0,23912.0,24828.0,24148.0,24696.0,24432.0,24100.0,25124.0,24172.0,26296.0,24360.0,23768.0,25904.0,24148.0,24488.0,24184.0,25568.0,27168.0,23524.0,23164.0,27220.0,23512.0,24068.0,25496.0,24336.0,24060.0,23928.0,23392.0,24104.0,24340.0,24240.0,24184.0,23596.0,24728.0,24336.0,23676.0,24260.0,24188.0,24304.0,24224.0,24900.0,24368.0,23796.0,23700.0,24320.0,23736.0,24012.0,24428.0,24532.0,24636.0,23904.0,24540.0,24492.0,24120.0,24180.0,23704.0,23956.0,24312.0,24268.0,23988.0,24076.0,24164.0,23112.0,23668.0,24584.0,24308.0,24548.0,24328.0,24320.0,24232.0,24180.0,24432.0,23956.0,23864.0,23800.0,24336.0,23924.0,23700.0,24376.0,24104.0,25204.0,24456.0,24596.0,25412.0,24920.0,24232.0,24900.0,25484.0,25052.0,25036.0,24700.0,24888.0,25292.0,24652.0,24484.0,25132.0,25176.0,24700.0,24036.0,24312.0,25384.0,25064.0,24324.0,24924.0,24408.0,24252.0,24644.0,24380.0,25312.0
6,24444.0,23076.0,24116.0,24112.0,24172.0,23592.0,23192.0,23700.0,24172.0,23988.0,24484.0,24568.0,24180.0,24388.0,24572.0,23752.0,24820.0,21412.0,24640.0,24816.0,24456.0,25220.0,24736.0,25132.0,27572.0,24636.0,24964.0,24840.0,25004.0,24596.0,24504.0,23412.0,23912.0,24828.0,24148.0,24696.0,24432.0,24100.0,25124.0,24172.0,26296.0,24360.0,23768.0,25904.0,24148.0,24488.0,24184.0,25568.0,27168.0,23524.0,23164.0,27220.0,23512.0,24068.0,25496.0,24336.0,24060.0,23928.0,23392.0,24104.0,24340.0,24240.0,24184.0,23596.0,24728.0,24336.0,23676.0,24260.0,24188.0,24312.0,24232.0,24900.0,24368.0,23796.0,23700.0,24328.0,23736.0,24012.0,24428.0,24532.0,24636.0,23904.0,24540.0,24492.0,24120.0,24180.0,23704.0,23956.0,24316.0,24268.0,23988.0,24076.0,24164.0,23112.0,23668.0,24584.0,24308.0,24580.0,24328.0,24320.0,24232.0,24180.0,24452.0,23956.0,23864.0,23800.0,24336.0,23924.0,23928.0,24376.0,24104.0,25212.0,24456.0,24596.0,25420.0,24920.0,24240.0,24908.0,25484.0,25052.0,25036.0,24700.0,24888.0,25292.0,24652.0,24484.0,25132.0,25176.0,24708.0,24036.0,24312.0,25384.0,25064.0,24324.0,24924.0,24408.0,24252.0,24644.0,24380.0,25312.0
7,24444.0,23084.0,24116.0,24112.0,24180.0,23600.0,23200.0,23708.0,24172.0,23996.0,24484.0,24568.0,24180.0,24388.0,24572.0,23752.0,24820.0,21412.0,24648.0,24816.0,24456.0,25220.0,24736.0,25140.0,27572.0,24636.0,24972.0,24848.0,25004.0,24596.0,24504.0,23412.0,23912.0,24828.0,24148.0,24696.0,24432.0,24100.0,25124.0,24180.0,26296.0,24368.0,23768.0,25912.0,24156.0,24496.0,24184.0,25576.0,27168.0,23524.0,23172.0,27220.0,23512.0,24068.0,25496.0,24344.0,24060.0,23928.0,23392.0,24104.0,24340.0,24240.0,24192.0,23596.0,24728.0,24336.0,23684.0,24260.0,24188.0,24312.0,24232.0,24900.0,24368.0,23796.0,23700.0,24328.0,23736.0,24012.0,24428.0,24532.0,24636.0,23904.0,24540.0,24492.0,24120.0,24180.0,23712.0,23956.0,24316.0,24268.0,23988.0,24076.0,24164.0,23112.0,23668.0,24584.0,24308.0,24580.0,24328.0,24320.0,24232.0,24180.0,24456.0,23956.0,23864.0,23800.0,24336.0,23924.0,23928.0,24376.0,24104.0,25212.0,24456.0,24596.0,25420.0,24920.0,24240.0,24908.0,25484.0,25052.0,25036.0,24700.0,24896.0,25292.0,24652.0,24484.0,25132.0,25176.0,24708.0,24036.0,24312.0,25384.0,25064.0,24324.0,24924.0,24408.0,24252.0,24652.0,24380.0,25312.0
8,24452.0,23084.0,24124.0,24120.0,24180.0,23600.0,23200.0,23708.0,24180.0,23996.0,24492.0,24568.0,24180.0,24388.0,24572.0,23752.0,24828.0,21420.0,24648.0,24824.0,24464.0,25228.0,24744.0,25140.0,27580.0,24644.0,24972.0,24848.0,25012.0,24596.0,24504.0,23420.0,23920.0,24828.0,24148.0,24704.0,24432.0,24100.0,25132.0,24180.0,26304.0,24368.0,23776.0,25912.0,24156.0,24496.0,24192.0,25576.0,27176.0,23532.0,23172.0,27220.0,23520.0,24076.0,25496.0,24344.0,24060.0,23928.0,23400.0,24112.0,24340.0,24248.0,24192.0,23604.0,24736.0,24344.0,23684.0,24260.0,24188.0,24312.0,24232.0,24900.0,24368.0,23796.0,23700.0,24328.0,23736.0,24012.0,24436.0,24540.0,24644.0,23912.0,24548.0,24500.0,24128.0,24188.0,23712.0,23964.0,24328.0,24268.0,23988.0,24076.0,24164.0,23120.0,23668.0,24584.0,24316.0,24580.0,24328.0,24320.0,24232.0,24180.0,24468.0,23964.0,23872.0,23800.0,24336.0,23932.0,23928.0,24376.0,24112.0,25212.0,24464.0,24604.0,25420.0,24920.0,24240.0,24908.0,25492.0,25052.0,25044.0,24700.0,24896.0,25300.0,24652.0,24492.0,25132.0,25176.0,24708.0,24044.0,24312.0,25384.0,25072.0,24332.0,24932.0,24416.0,24252.0,24652.0,24388.0,25320.0
9,24452.0,23084.0,24124.0,24120.0,24180.0,23600.0,23200.0,23708.0,24180.0,23996.0,24492.0,24576.0,24188.0,24396.0,24580.0,23760.0,24828.0,21420.0,24648.0,24824.0,24464.0,25228.0,24744.0,25140.0,27580.0,24644.0,24972.0,24848.0,25012.0,24604.0,24512.0,23420.0,23920.0,24836.0,24156.0,24704.0,24440.0,24108.0,25132.0,24180.0,26304.0,24368.0,23776.0,25912.0,24156.0,24496.0,24192.0,25576.0,27176.0,23532.0,23172.0,27228.0,23520.0,24076.0,25504.0,24344.0,24068.0,23936.0,23400.0,24112.0,24348.0,24248.0,24192.0,23604.0,24736.0,24344.0,23684.0,24268.0,24188.0,24312.0,24232.0,24900.0,24368.0,23796.0,23700.0,24328.0,23744.0,24020.0,24436.0,24540.0,24644.0,23912.0,24548.0,24500.0,24128.0,24188.0,23712.0,23964.0,24332.0,24276.0,23996.0,24084.0,24172.0,23120.0,23676.0,24592.0,24316.0,24588.0,24336.0,24328.0,24240.0,24188.0,24484.0,23964.0,23872.0,23808.0,24344.0,23932.0,23936.0,24384.0,24112.0,25212.0,24464.0,24604.0,25420.0,24928.0,24240.0,24908.0,25492.0,25060.0,25044.0,24700.0,24896.0,25300.0,24660.0,24492.0,25140.0,25184.0,24708.0,24044.0,24320.0,25392.0,25072.0,24332.0,24932.0,24416.0,24260.0,24652.0,24388.0,25320.0
10,24452.0,23084.0,24124.0,24120.0,24180.0,23600.0,23200.0,23708.0,24180.0,23996.0,24492.0,24576.0,24188.0,24396.0,24580.0,23760.0,24828.0,21420.0,24648.0,24824.0,24464.0,25228.0,24744.0,25140.0,27580.0,24644.0,24972.0,24848.0,25012.0,24604.0,24512.0,23420.0,23920.0,24836.0,24156.0,24704.0,24440.0,24108.0,25132.0,24180.0,26304.0,24368.0,23776.0,25912.0,24156.0,24496.0,24192.0,25576.0,27176.0,23532.0,23172.0,27228.0,23520.0,24076.0,25504.0,24344.0,24068.0,23936.0,23400.0,24112.0,24348.0,24248.0,24192.0,23604.0,24736.0,24344.0,23684.0,24268.0,24196.0,24312.0,24232.0,24908.0,24376.0,23804.0,23708.0,24328.0,23744.0,24020.0,24436.0,24540.0,24644.0,23912.0,24548.0,24500.0,24128.0,24188.0,23712.0,23964.0,24336.0,24276.0,23996.0,24084.0,24172.0,23120.0,23676.0,24592.0,24316.0,24588.0,24336.0,24328.0,24240.0,24188.0,24488.0,23964.0,23872.0,23808.0,24344.0,23932.0,23936.0,24384.0,24112.0,25212.0,24464.0,24604.0,25420.0,24928.0,24240.0,24908.0,25492.0,25060.0,25044.0,24708.0,24896.0,25300.0,24660.0,24492.0,25140.0,25184.0,24708.0,24044.0,24320.0,25392.0,25072.0,24332.0,24932.0,24416.0,24260.0,24652.0,24388.0,25320.0
11,24452.0,23084.0,24124.0,24120.0,24180.0,23600.0,23200.0,23708.0,24180.0,23996.0,24492.0,24576.0,24188.0,24396.0,24580.0,23760.0,24828.0,21420.0,24648.0,24824.0,24464.0,25228.0,24744.0,25140.0,27580.0,24644.0,24972.0,24848.0,25012.0,24604.0,24512.0,23420.0,23920.0,24836.0,24156.0,24704.0,24440.0,24108.0,25132.0,24180.0,26304.0,24368.0,23776.0,25912.0,24156.0,24496.0,24192.0,25576.0,27176.0,23532.0,23172.0,27228.0,23520.0,24076.0,25504.0,24344.0,24068.0,23936.0,23400.0,24112.0,24348.0,24248.0,24192.0,23604.0,24736.0,24344.0,23684.0,24268.0,24196.0,24320.0,24240.0,24908.0,24376.0,23804.0,23708.0,24336.0,23744.0,24020.0,24436.0,24540.0,24644.0,23912.0,24548.0,24500.0,24128.0,24188.0,23712.0,23964.0,24336.0,24276.0,23996.0,24084.0,24172.0,23120.0,23676.0,24592.0,24316.0,24588.0,24336.0,24328.0,24240.0,24188.0,24492.0,23964.0,23872.0,23808.0,24344.0,23932.0,23936.0,24384.0,24112.0,25220.0,24464.0,24604.0,25428.0,24928.0,24248.0,24916.0,25492.0,25060.0,25044.0,24708.0,24896.0,25300.0,24660.0,24492.0,25140.0,25184.0,24716.0,24044.0,24320.0,25392.0,25072.0,24332.0,24932.0,24416.0,24260.0,24652.0,24388.0,25320.0
12,24452.0,23092.0,24124.0,24120.0,24188.0,23608.0,23208.0,23716.0,24180.0,24004.0,24492.0,24576.0,24188.0,24396.0,24580.0,23760.0,24828.0,21420.0,24656.0,24824.0,24464.0,25228.0,24744.0,25148.0,27580.0,24644.0,24980.0,24856.0,25012.0,24604.0,24512.0,23420.0,23920.0,24836.0,24156.0,24704.0,24440.0,24108.0,25132.0,24188.0,26304.0,24376.0,23776.0,25920.0,24164.0,24504.0,24192.0,25584.0,27176.0,23532.0,23180.0,27228.0,23520.0,24076.0,25504.0,24352.0,24068.0,23936.0,23400.0,24112.0,24348.0,24248.0,24200.0,23604.0,24736.0,24344.0,23692.0,24268.0,24196.0,24320.0,24240.0,24908.0,24376.0,23804.0,23708.0,24336.0,23744.0,24020.0,24436.0,24540.0,24644.0,23912.0,24548.0,24500.0,24128.0,24188.0,23720.0,23964.0,24336.0,24276.0,23996.0,24084.0,24172.0,23120.0,23676.0,24592.0,24316.0,24588.0,24336.0,24328.0,24240.0,24188.0,24492.0,23964.0,23872.0,23808.0,24344.0,23932.0,23936.0,24384.0,24112.0,25220.0,24464.0,24604.0,25428.0,24928.0,24248.0,24916.0,25492.0,25060.0,25044.0,24708.0,24904.0,25300.0,24660.0,24492.0,25140.0,25184.0,24716.0,24044.0,24320.0,25392.0,25072.0,24332.0,24932.0,24416.0,24260.0,24660.0,24388.0,25320.0
13,24460.0,23092.0,24132.0,24128.0,24188.0,23608.0,23208.0,23716.0,24188.0,24004.0,24500.0,24576.0,24188.0,24396.0,24580.0,23760.0,24836.0,21428.0,24656.0,24832.0,24472.0,25236.0,24752.0,25148.0,27588.0,24652.0,24980.0,24856.0,25020.0,24604.0,24512.0,23428.0,23928.0,24836.0,24156.0,24712.0,24440.0,24108.0,25140.0,24188.0,26312.0,24376.0,23784.0,25920.0,24164.0,24504.0,24200.0,25584.0,27184.0,23540.0,23180.0,27228.0,23528.0,24084.0,25504.0,24352.0,24068.0,23936.0,23408.0,24120.0,24348.0,24256.0,24200.0,23612.0,24744.0,24352.0,23692.0,24268.0,24196.0,24320.0,24240.0,24908.0,24376.0,23804.0,23708.0,24336.0,23744.0,24020.0,24444.0,24548.0,24652.0,23928.0,24556.0,24508.0,24136.0,24196.0,23720.0,23972.0,24348.0,24276.0,23996.0,24084.0,24172.0,23128.0,23676.0,24592.0,24324.0,24588.0,24336.0,24328.0,24240.0,24188.0,24500.0,23972.0,23880.0,23808.0,24344.0,23932.0,23936.0,24384.0,24120.0,25220.0,24472.0,24612.0,25428.0,24928.0,24248.0,24916.0,25500.0,25060.0,25052.0,24708.0,24904.0,25308.0,24660.0,24500.0,25140.0,25184.0,24716.0,24052.0,24320.0,25392.0,25080.0,24340.0,24940.0,24424.0,24260.0,24660.0,24396.0,25328.0
14,24460.0,23092.0,24132.0,24128.0,24188.0,23608.0,23208.0,23716.0,24188.0,24004.0,24500.0,24584.0,24196.0,24404.0,24588.0,23768.0,24836.0,21428.0,24656.0,24832.0,24472.0,25236.0,24752.0,25148.0,27588.0,24652.0,24980.0,24856.0,25020.0,24612.0,24520.0,23428.0,23928.0,24844.0,24164.0,24712.0,24448.0,24116.0,25140.0,24188.0,26312.0,24376.0,23784.0,25920.0,24164.0,24504.0,24200.0,25584.0,27184.0,23540.0,23180.0,27236.0,23528.0,24084.0,25512.0,24352.0,24076.0,23944.0,23408.0,24120.0,24356.0,24256.0,24200.0,23612.0,24744.0,24352.0,23692.0,24276.0,24196.0,24320.0,24240.0,24908.0,24376.0,23804.0,23708.0,24336.0,23752.0,24028.0,24444.0,24548.0,24652.0,23944.0,24556.0,24508.0,24136.0,24196.0,23720.0,23972.0,24348.0,24284.0,24004.0,24092.0,24180.0,23128.0,23684.0,24600.0,24324.0,24596.0,24344.0,24336.0,24248.0,24196.0,24512.0,23972.0,23880.0,23816.0,24352.0,23940.0,23944.0,24392.0,24120.0,25220.0,24472.0,24612.0,25428.0,24936.0,24248.0,24916.0,25500.0,25068.0,25052.0,24708.0,24904.0,25308.0,24668.0,24500.0,25148.0,25192.0,24716.0,24052.0,24328.0,25400.0,25080.0,24340.0,24940.0,24424.0,24268.0,24660.0,24396.0,25328.0
15,24460.0,23092.0,24132.0,24128.0,24188.0,23608.0,23208.0,23716.0,24188.0,24004.0,24500.0,24584.0,24196.0,24404.0,24588.0,23768.0,24836.0,21428.0,24656.0,24832.0,24472.0,25236.0,24752.0,25148.0,27588.0,24652.0,24980.0,24856.0,25020.0,24612.0,24520.0,23428.0,23928.0,24844.0,24164.0,24712.0,24448.0,24116.0,25140.0,24188.0,26312.0,24376.0,23784.0,25920.0,24164.0,24504.0,24200.0,25584.0,27184.0,23540.0,23180.0,27236.0,23528.0,24084.0,25512.0,24352.0,24076.0,23944.0,23408.0,24120.0,24356.0,24256.0,24200.0,23612.0,24744.0,24352.0,23692.0,24276.0,24204.0,24320.0,24240.0,24916.0,24384.0,23812.0,23716.0,24336.0,23752.0,24028.0,24444.0,24548.0,24652.0,23944.0,24556.0,24508.0,24136.0,24196.0,23720.0,23972.0,24348.0,24284.0,24004.0,24092.0,24180.0,23128.0,23684.0,24600.0,24324.0,24596.0,24344.0,24336.0,24248.0,24196.0,24516.0,23972.0,23880.0,23816.0,24352.0,23940.0,23944.0,24392.0,24120.0,25220.0,24472.0,24612.0,25428.0,24936.0,24248.0,24916.0,25500.0,25068.0,25052.0,24716.0,24904.0,25308.0,24668.0,24500.0,25148.0,25192.0,24716.0,24052.0,24328.0,25400.0,25080.0,24340.0,24940.0,24424.0,24268.0,24660.0,24396.0,25328.0
16,24460.0,23092.0,24132.0,24128.0,24188.0,23608.0,23208.0,23716.0,24188.0,24004.0,24500.0,24584.0,24196.0,24404.0,24588.0,23768.0,24836.0,21428.0,24656.0,24832.0,24472.0,25236.0,24752.0,25148.0,27588.0,24652.0,24980.0,24856.0,25020.0,24612.0,24520.0,23428.0,23928.0,24844.0,24164.0,24712.0,24448.0,24116.0,25140.0,24188.0,26312.0,24376.0,23784.0,25920.0,24164.0,24504.0,24200.0,25584.0,27184.0,23540.0,23180.0,27236.0,23528.0,24084.0,25512.0,24352.0,24076.0,23944.0,23408.0,24120.0,24356.0,24256.0,24200.0,23612.0,24744.0,24352.0,23692.0,24276.0,24204.0,24328.0,24248.0,24916.0,24384.0,23812.0,23716.0,24344.0,23752.0,24028.0,24444.0,24548.0,24652.0,23948.0,24556.0,24508.0,24136.0,24196.0,23720.0,23972.0,24348.0,24284.0,24004.0,24092.0,24180.0,23128.0,23684.0,24600.0,24324.0,24596.0,24344.0,24336.0,24248.0,24196.0,24532.0,23972.0,23880.0,23816.0,24352.0,23940.0,23944.0,24392.0,24120.0,25228.0,24472.0,24612.0,25436.0,24936.0,24256.0,24924.0,25500.0,25068.0,25052.0,24716.0,24904.0,25308.0,24668.0,24500.0,25148.0,25192.0,24724.0,24052.0,24328.0,25400.0,25080.0,24340.0,24940.0,24424.0,24268.0,24660.0,24396.0,25328.0
17,24460.0,23100.0,24132.0,24128.0,24196.0,23616.0,23216.0,23724.0,24188.0,24012.0,24500.0,24584.0,24196.0,24404.0,24588.0,23768.0,24836.0,21428.0,24664.0,24832.0,24472.0,25236.0,24752.0,25156.0,27588.0,24652.0,24988.0,24864.0,25020.0,24612.0,24520.0,23428.0,23928.0,24844.0,24164.0,24712.0,24448.0,24116.0,25140.0,24196.0,26312.0,24384.0,23784.0,25928.0,24172.0,24512.0,24200.0,25592.0,27184.0,23540.0,23188.0,27236.0,23528.0,24084.0,25512.0,24360.0,24076.0,23944.0,23408.0,24120.0,24356.0,24256.0,24208.0,23612.0,24744.0,24352.0,23700.0,24276.0,24204.0,24328.0,24248.0,24916.0,24384.0,23812.0,23716.0,24344.0,23752.0,24028.0,24444.0,24548.0,24652.0,23948.0,24556.0,24508.0,24136.0,24196.0,23728.0,23972.0,24356.0,24284.0,24004.0,24092.0,24180.0,23128.0,23684.0,24600.0,24324.0,24596.0,24344.0,24336.0,24248.0,24196.0,24564.0,23972.0,23880.0,23816.0,24352.0,23940.0,23944.0,24392.0,24120.0,25228.0,24472.0,24612.0,25436.0,24936.0,24256.0,24924.0,25500.0,25068.0,25052.0,24716.0,24912.0,25308.0,24668.0,24500.0,25148.0,25192.0,24724.0,24052.0,24328.0,25400.0,25080.0,24340.0,24940.0,24424.0,24268.0,24668.0,24396.0,25328.0
