kbcached,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,96976.0,91864.0,91980.0,91972.0,92004.0,92012.0,92008.0,92092.0,92012.0,91992.0,96996.0,96988.0,96872.0,97160.0,96860.0,96592.0,96900.0,96988.0,96996.0,96996.0,92040.0,97240.0,97232.0,97004.0,96868.0,96988.0,96848.0,97132.0,97268.0,97148.0,96984.0,91892.0,96884.0,97148.0,96976.0,97204.0,97136.0,97156.0,96856.0,96964.0,96984.0,96876.0,92008.0,97308.0,96868.0,96872.0,96976.0,96992.0,96976.0,97116.0,96864.0,96868.0,96868.0,94888.0,96952.0,94612.0,94644.0,96620.0,92924.0,96504.0,94508.0,94568.0,96912.0,96616.0,96508.0,96824.0,97232.0,96596.0,96532.0,96736.0,96612.0,96636.0,96632.0,96716.0,96772.0,96876.0,96620.0,96492.0,96632.0,96636.0,96640.0,96640.0,96656.0,96632.0,96660.0,96512.0,96592.0,96588.0,96680.0,96652.0,96608.0,96760.0,96612.0,96720.0,96480.0,96580.0,96596.0,96644.0,96256.0,96452.0,96600.0,96864.0,96560.0,96756.0,96708.0,96728.0,96572.0,96708.0,96716.0,96572.0,96588.0,97012.0,96716.0,96892.0,96988.0,97000.0,97004.0,96732.0,96840.0,97252.0,96728.0,96716.0,96728.0,96988.0,96980.0,96840.0,96580.0,96708.0,96704.0,97108.0,97100.0,96992.0,97004.0,97292.0,97272.0,97236.0,96992.0,96872.0,97120.0,97008.0
1,96984.0,91900.0,92008.0,91988.0,92040.0,92036.0,92048.0,92092.0,92048.0,91992.0,97020.0,97008.0,96892.0,97160.0,96872.0,96612.0,96900.0,96988.0,97020.0,96996.0,92056.0,97260.0,97252.0,97028.0,96888.0,96988.0,96868.0,97176.0,97288.0,97168.0,97004.0,91928.0,96908.0,97144.0,96996.0,97204.0,97132.0,97132.0,96892.0,96984.0,96984.0,96900.0,92008.0,97332.0,96892.0,96892.0,96996.0,97012.0,96976.0,97136.0,96888.0,96888.0,96892.0,94888.0,96948.0,94636.0,94676.0,96640.0,92948.0,96532.0,94544.0,94604.0,96944.0,96636.0,96508.0,96820.0,97256.0,96596.0,96552.0,96720.0,96612.0,96652.0,96632.0,96724.0,96800.0,96892.0,96640.0,96492.0,96652.0,96656.0,96640.0,96640.0,96656.0,96656.0,96672.0,96532.0,96608.0,96612.0,96700.0,96664.0,96620.0,96760.0,96620.0,96756.0,96480.0,96580.0,96612.0,96672.0,96288.0,96432.0,96600.0,96884.0,96584.0,96756.0,96748.0,96704.0,96572.0,96720.0,96724.0,96572.0,96616.0,97032.0,96736.0,96916.0,97008.0,97024.0,97004.0,96740.0,96828.0,97272.0,96752.0,96716.0,96708.0,97008.0,96992.0,96864.0,96596.0,96728.0,96732.0,97096.0,97100.0,97004.0,97012.0,97312.0,97296.0,97240.0,96988.0,96892.0,97136.0,97000.0
2,97008.0,91924.0,92048.0,92004.0,92072.0,92048.0,92044.0,92132.0,92048.0,92008.0,97040.0,97008.0,96892.0,97204.0,96900.0,96636.0,96944.0,97032.0,97032.0,97040.0,92080.0,97284.0,97276.0,97040.0,96888.0,97032.0,96880.0,97192.0,97312.0,97168.0,97028.0,91928.0,96928.0,97168.0,97020.0,97240.0,97156.0,97152.0,96916.0,97000.0,97028.0,96916.0,92048.0,97324.0,96904.0,96904.0,97020.0,97024.0,97020.0,97136.0,96912.0,96912.0,96912.0,94928.0,96948.0,94628.0,94696.0,96664.0,92964.0,96532.0,94544.0,94628.0,96936.0,96636.0,96552.0,96820.0,97268.0,96636.0,96576.0,96760.0,96636.0,96676.0,96676.0,96756.0,96800.0,96892.0,96664.0,96536.0,96676.0,96680.0,96664.0,96664.0,96688.0,96672.0,96700.0,96568.0,96628.0,96628.0,96712.0,96688.0,96644.0,96784.0,96620.0,96756.0,96524.0,96624.0,96640.0,96704.0,96324.0,96460.0,96624.0,96884.0,96616.0,96796.0,96736.0,96724.0,96616.0,96720.0,96748.0,96616.0,96636.0,97032.0,96760.0,96936.0,97008.0,97044.0,97028.0,96768.0,96872.0,97296.0,96752.0,96740.0,96752.0,97008.0,97016.0,96876.0,96640.0,96728.0,96732.0,97140.0,97120.0,97028.0,97012.0,97336.0,97308.0,97260.0,97020.0,96904.0,97164.0,97036.0
3,97028.0,91948.0,92044.0,92016.0,92076.0,92084.0,92076.0,92132.0,92088.0,92056.0,97052.0,97048.0,96932.0,97204.0,96896.0,96636.0,96960.0,97048.0,97060.0,97056.0,92096.0,97300.0,97268.0,97068.0,96904.0,97048.0,96908.0,97216.0,97304.0,97208.0,97028.0,91968.0,96940.0,97184.0,97020.0,97252.0,97172.0,97192.0,96908.0,97048.0,97020.0,96940.0,92080.0,97348.0,96932.0,96932.0,97036.0,97052.0,97012.0,97176.0,96948.0,96912.0,96924.0,94936.0,96988.0,94676.0,94716.0,96664.0,92972.0,96560.0,94584.0,94644.0,96976.0,96676.0,96544.0,96860.0,97308.0,96660.0,96592.0,96772.0,96652.0,96676.0,96692.0,96756.0,96832.0,96932.0,96664.0,96536.0,96696.0,96696.0,96680.0,96656.0,96716.0,96692.0,96724.0,96568.0,96648.0,96652.0,96740.0,96700.0,96652.0,96800.0,96656.0,96784.0,96532.0,96624.0,96644.0,96704.0,96328.0,96476.0,96640.0,96916.0,96632.0,96820.0,96784.0,96764.0,96628.0,96752.0,96760.0,96632.0,96648.0,97072.0,96776.0,96952.0,97048.0,97064.0,97028.0,96788.0,96888.0,97296.0,96788.0,96776.0,96752.0,97048.0,97008.0,96912.0,96640.0,96760.0,96772.0,97156.0,97160.0,97020.0,97028.0,97352.0,97336.0,97276.0,97040.0,96932.0,97156.0,97028.0
4,97028.0,91948.0,92080.0,92044.0,92104.0,92084.0,92096.0,92160.0,92112.0,92072.0,97080.0,97072.0,96956.0,97252.0,96940.0,96676.0,96984.0,97048.0,97080.0,97056.0,92096.0,97300.0,97316.0,97088.0,96952.0,97048.0,96928.0,97232.0,97352.0,97232.0,97068.0,91968.0,96968.0,97208.0,97060.0,97280.0,97196.0,97224.0,96956.0,97048.0,97068.0,96952.0,92088.0,97372.0,96952.0,96952.0,97060.0,97072.0,97060.0,97176.0,96948.0,96952.0,96956.0,94976.0,97020.0,94676.0,94728.0,96704.0,93004.0,96584.0,94608.0,94664.0,96996.0,96696.0,96592.0,96884.0,97312.0,96676.0,96632.0,96812.0,96652.0,96716.0,96716.0,96788.0,96832.0,96932.0,96700.0,96576.0,96708.0,96696.0,96700.0,96704.0,96716.0,96712.0,96740.0,96608.0,96668.0,96672.0,96756.0,96728.0,96684.0,96800.0,96696.0,96800.0,96564.0,96664.0,96672.0,96728.0,96340.0,96488.0,96660.0,96956.0,96656.0,96836.0,96800.0,96788.0,96656.0,96784.0,96792.0,96664.0,96676.0,97072.0,96800.0,96980.0,97072.0,97080.0,97068.0,96804.0,96888.0,97332.0,96800.0,96776.0,96768.0,97072.0,97056.0,96924.0,96688.0,96792.0,96772.0,97156.0,97184.0,97068.0,97056.0,97352.0,97356.0,97300.0,97052.0,96952.0,97204.0,97076.0
5,97068.0,91992.0,92096.0,92064.0,92132.0,92116.0,92136.0,92200.0,92128.0,92100.0,97100.0,97088.0,96972.0,97260.0,96956.0,96676.0,97000.0,97088.0,97100.0,97096.0,92136.0,97340.0,97316.0,97108.0,96952.0,97088.0,96948.0,97260.0,97352.0,97248.0,97068.0,92008.0,96988.0,97224.0,97060.0,97300.0,97212.0,97232.0,96972.0,97092.0,97084.0,96972.0,92116.0,97416.0,96972.0,96972.0,97076.0,97092.0,97060.0,97216.0,96992.0,96952.0,96972.0,94984.0,97024.0,94716.0,94756.0,96704.0,93020.0,96604.0,94624.0,94676.0,97016.0,96696.0,96608.0,96900.0,97336.0,96704.0,96660.0,96812.0,96692.0,96732.0,96732.0,96812.0,96904.0,96972.0,96700.0,96592.0,96732.0,96736.0,96700.0,96700.0,96756.0,96732.0,96768.0,96636.0,96688.0,96692.0,96784.0,96748.0,96700.0,96840.0,96700.0,96828.0,96564.0,96680.0,96688.0,96724.0,96368.0,96516.0,96680.0,96964.0,96680.0,96864.0,96828.0,96788.0,96672.0,96800.0,96796.0,96672.0,96696.0,97112.0,96816.0,97020.0,97088.0,97104.0,97084.0,96828.0,96928.0,97352.0,96828.0,96828.0,96808.0,97072.0,97072.0,96944.0,96696.0,96792.0,96804.0,97196.0,97200.0,97068.0,97092.0,97392.0,97380.0,97316.0,97080.0,96972.0,97204.0,97092.0
6,97084.0,92008.0,92124.0,92088.0,92132.0,92132.0,92140.0,92216.0,92152.0,92100.0,97116.0,97112.0,97012.0,97284.0,96976.0,96712.0,97020.0,97128.0,97140.0,97116.0,92176.0,97368.0,97352.0,97124.0,97008.0,97108.0,96964.0,97260.0,97396.0,97268.0,97104.0,92048.0,97004.0,97252.0,97096.0,97324.0,97236.0,97260.0,96992.0,97092.0,97108.0,96988.0,92116.0,97416.0,96992.0,96988.0,97104.0,97108.0,97104.0,97236.0,96992.0,96988.0,96996.0,95012.0,97044.0,94736.0,94776.0,96740.0,93040.0,96628.0,94664.0,94700.0,97032.0,96736.0,96632.0,96924.0,97356.0,96720.0,96660.0,96844.0,96712.0,96772.0,96752.0,96852.0,96904.0,96992.0,96752.0,96616.0,96748.0,96756.0,96744.0,96744.0,96776.0,96748.0,96768.0,96636.0,96704.0,96708.0,96804.0,96772.0,96740.0,96880.0,96740.0,96848.0,96600.0,96720.0,96716.0,96780.0,96388.0,96572.0,96720.0,96984.0,96692.0,96880.0,96828.0,96832.0,96692.0,96820.0,96832.0,96692.0,96720.0,97132.0,96848.0,97012.0,97108.0,97124.0,97116.0,96836.0,96952.0,97392.0,96840.0,96844.0,96840.0,97108.0,97112.0,96964.0,96720.0,96828.0,96816.0,97220.0,97224.0,97104.0,97120.0,97432.0,97392.0,97344.0,97120.0,96988.0,97244.0,97112.0
7,97108.0,92040.0,92124.0,92128.0,92180.0,92164.0,92172.0,92248.0,92172.0,92148.0,97144.0,97132.0,97016.0,97308.0,97000.0,96732.0,97040.0,97136.0,97136.0,97144.0,92176.0,97368.0,97380.0,97144.0,97012.0,97128.0,96984.0,97308.0,97412.0,97292.0,97132.0,92056.0,97032.0,97268.0,97116.0,97344.0,97260.0,97260.0,97016.0,97144.0,97128.0,97012.0,92152.0,97452.0,97012.0,97008.0,97120.0,97128.0,97120.0,97256.0,97040.0,97008.0,97024.0,95036.0,97068.0,94760.0,94792.0,96764.0,93064.0,96668.0,94668.0,94728.0,97052.0,96764.0,96656.0,96948.0,97376.0,96760.0,96716.0,96860.0,96732.0,96772.0,96776.0,96844.0,96920.0,96992.0,96764.0,96616.0,96776.0,96776.0,96764.0,96764.0,96816.0,96776.0,96804.0,96692.0,96724.0,96736.0,96828.0,96784.0,96744.0,96884.0,96740.0,96888.0,96624.0,96724.0,96728.0,96788.0,96404.0,96572.0,96724.0,97008.0,96728.0,96900.0,96884.0,96832.0,96716.0,96848.0,96848.0,96716.0,96740.0,97156.0,96860.0,97040.0,97132.0,97152.0,97128.0,96872.0,96972.0,97400.0,96872.0,96884.0,96852.0,97136.0,97116.0,96992.0,96740.0,96852.0,96852.0,97240.0,97244.0,97104.0,97136.0,97436.0,97420.0,97360.0,97120.0,97008.0,97268.0,97136.0
8,97124.0,92056.0,92172.0,92124.0,92180.0,92176.0,92168.0,92260.0,92196.0,92160.0,97156.0,97172.0,97056.0,97328.0,97024.0,96760.0,97072.0,97156.0,97164.0,97172.0,92204.0,97408.0,97408.0,97168.0,97032.0,97160.0,97012.0,97320.0,97444.0,97312.0,97172.0,92084.0,97048.0,97308.0,97152.0,97356.0,97300.0,97316.0,97044.0,97132.0,97148.0,97036.0,92176.0,97452.0,97036.0,97036.0,97140.0,97156.0,97152.0,97288.0,97028.0,97040.0,97036.0,95068.0,97088.0,94780.0,94820.0,96788.0,93080.0,96668.0,94708.0,94760.0,97080.0,96796.0,96676.0,96968.0,97404.0,96764.0,96696.0,96900.0,96764.0,96800.0,96804.0,96872.0,96960.0,97036.0,96788.0,96664.0,96788.0,96808.0,96784.0,96792.0,96820.0,96776.0,96836.0,96692.0,96752.0,96752.0,96840.0,96812.0,96784.0,96904.0,96764.0,96892.0,96664.0,96744.0,96756.0,96820.0,96432.0,96616.0,96764.0,97048.0,96740.0,96920.0,96896.0,96892.0,96744.0,96880.0,96868.0,96736.0,96748.0,97184.0,96880.0,97048.0,97160.0,97168.0,97160.0,96896.0,96992.0,97440.0,96896.0,96864.0,96872.0,97168.0,97140.0,97008.0,96760.0,96880.0,96868.0,97272.0,97264.0,97152.0,97168.0,97464.0,97436.0,97392.0,97148.0,97032.0,97288.0,97160.0
9,97160.0,92076.0,92184.0,92148.0,92204.0,92204.0,92208.0,92260.0,92216.0,92180.0,97184.0,97172.0,97060.0,97348.0,97048.0,96776.0,97088.0,97156.0,97204.0,97192.0,92224.0,97408.0,97420.0,97192.0,97032.0,97172.0,97036.0,97320.0,97456.0,97336.0,97176.0,92100.0,97080.0,97308.0,97168.0,97388.0,97304.0,97324.0,97060.0,97176.0,97148.0,97060.0,92176.0,97472.0,97064.0,97060.0,97164.0,97188.0,97164.0,97304.0,97072.0,97056.0,97068.0,95068.0,97104.0,94804.0,94848.0,96820.0,93112.0,96700.0,94712.0,94764.0,97104.0,96804.0,96676.0,96968.0,97428.0,96784.0,96720.0,96892.0,96776.0,96820.0,96816.0,96888.0,96964.0,97060.0,96804.0,96676.0,96816.0,96820.0,96804.0,96808.0,96820.0,96816.0,96832.0,96692.0,96776.0,96776.0,96868.0,96832.0,96792.0,96936.0,96784.0,96912.0,96668.0,96764.0,96776.0,96836.0,96440.0,96596.0,96764.0,97048.0,96760.0,96944.0,96908.0,96864.0,96756.0,96888.0,96900.0,96756.0,96780.0,97200.0,96880.0,97080.0,97172.0,97192.0,97172.0,96916.0,96992.0,97444.0,96912.0,96908.0,96872.0,97176.0,97160.0,97032.0,96792.0,96892.0,96892.0,97284.0,97296.0,97168.0,97156.0,97480.0,97460.0,97404.0,97172.0,97056.0,97288.0,97188.0
10,97176.0,92092.0,92204.0,92176.0,92232.0,92204.0,92212.0,92284.0,92216.0,92180.0,97204.0,97196.0,97084.0,97372.0,97068.0,96800.0,97108.0,97200.0,97204.0,97192.0,92244.0,97432.0,97444.0,97212.0,97068.0,97172.0,97052.0,97344.0,97476.0,97336.0,97196.0,92100.0,97096.0,97332.0,97168.0,97408.0,97304.0,97324.0,97060.0,97176.0,97192.0,97076.0,92212.0,97496.0,97080.0,97076.0,97164.0,97200.0,97184.0,97324.0,97072.0,97076.0,97088.0,95108.0,97132.0,94820.0,94848.0,96832.0,93128.0,96700.0,94732.0,94792.0,97120.0,96828.0,96720.0,97012.0,97444.0,96800.0,96756.0,96932.0,96776.0,96840.0,96840.0,96916.0,96996.0,97076.0,96804.0,96700.0,96816.0,96820.0,96828.0,96828.0,96860.0,96836.0,96852.0,96732.0,96792.0,96796.0,96888.0,96852.0,96816.0,96948.0,96808.0,96928.0,96688.0,96764.0,96796.0,96836.0,96472.0,96616.0,96764.0,97048.0,96788.0,96960.0,96924.0,96912.0,96780.0,96912.0,96892.0,96780.0,96780.0,97220.0,96924.0,97104.0,97196.0,97212.0,97172.0,96936.0,97036.0,97468.0,96932.0,96900.0,96892.0,97200.0,97184.0,97052.0,96780.0,96916.0,96912.0,97284.0,97308.0,97192.0,97180.0,97480.0,97480.0,97424.0,97192.0,97076.0,97332.0,97208.0
11,97192.0,92116.0,92220.0,92176.0,92232.0,92240.0,92248.0,92320.0,92252.0,92196.0,97224.0,97212.0,97084.0,97372.0,97084.0,96816.0,97124.0,97216.0,97224.0,97228.0,92260.0,97468.0,97460.0,97232.0,97068.0,97212.0,97072.0,97380.0,97476.0,97372.0,97212.0,92136.0,97116.0,97348.0,97204.0,97408.0,97340.0,97360.0,97096.0,97216.0,97208.0,97096.0,92252.0,97536.0,97100.0,97096.0,97200.0,97228.0,97184.0,97340.0,97112.0,97092.0,97104.0,95104.0,97152.0,94820.0,94884.0,96832.0,93148.0,96732.0,94748.0,94792.0,97140.0,96840.0,96720.0,97028.0,97464.0,96824.0,96780.0,96928.0,96816.0,96840.0,96840.0,96932.0,97000.0,97096.0,96844.0,96716.0,96856.0,96860.0,96844.0,96844.0,96884.0,96856.0,96888.0,96732.0,96812.0,96816.0,96908.0,96872.0,96832.0,96964.0,96824.0,96952.0,96688.0,96804.0,96816.0,96872.0,96472.0,96640.0,96804.0,97088.0,96784.0,96984.0,96948.0,96912.0,96780.0,96928.0,96912.0,96780.0,96820.0,97236.0,96940.0,97120.0,97212.0,97232.0,97212.0,96948.0,97052.0,97484.0,96960.0,96924.0,96932.0,97200.0,97200.0,97072.0,96820.0,96932.0,96924.0,97324.0,97308.0,97192.0,97216.0,97516.0,97500.0,97440.0,97208.0,97096.0,97332.0,97224.0
12,97216.0,92132.0,92220.0,92220.0,92252.0,92272.0,92240.0,92336.0,92276.0,92236.0,97244.0,97212.0,97124.0,97412.0,97108.0,96816.0,97124.0,97216.0,97236.0,97252.0,92260.0,97492.0,97460.0,97244.0,97092.0,97236.0,97084.0,97372.0,97516.0,97396.0,97236.0,92136.0,97136.0,97372.0,97228.0,97444.0,97364.0,97360.0,97120.0,97208.0,97232.0,97108.0,92252.0,97528.0,97112.0,97128.0,97200.0,97244.0,97224.0,97364.0,97104.0,97116.0,97124.0,95136.0,97172.0,94860.0,94912.0,96872.0,93168.0,96752.0,94748.0,94824.0,97152.0,96860.0,96760.0,97028.0,97496.0,96840.0,96780.0,96964.0,96816.0,96880.0,96880.0,96952.0,97000.0,97096.0,96868.0,96740.0,96876.0,96860.0,96844.0,96844.0,96900.0,96876.0,96888.0,96772.0,96828.0,96840.0,96928.0,96900.0,96832.0,96988.0,96848.0,96968.0,96728.0,96804.0,96836.0,96872.0,96512.0,96656.0,96828.0,97112.0,96828.0,97000.0,96948.0,96928.0,96820.0,96928.0,96928.0,96820.0,96820.0,97260.0,96940.0,97140.0,97212.0,97252.0,97212.0,96976.0,97076.0,97484.0,96972.0,96964.0,96956.0,97240.0,97200.0,97092.0,96844.0,96932.0,96952.0,97348.0,97348.0,97232.0,97240.0,97540.0,97520.0,97464.0,97208.0,97108.0,97372.0,97248.0
13,97224.0,92152.0,92240.0,92212.0,92296.0,92320.0,92308.0,92368.0,92292.0,92260.0,97256.0,97252.0,97140.0,97428.0,97108.0,96856.0,97164.0,97256.0,97264.0,97268.0,92292.0,97484.0,97500.0,97272.0,97132.0,97228.0,97112.0,97424.0,97532.0,97396.0,97252.0,92176.0,97148.0,97388.0,97228.0,97456.0,97380.0,97384.0,97136.0,97260.0,97248.0,97136.0,92264.0,97584.0,97140.0,97136.0,97240.0,97284.0,97216.0,97380.0,97152.0,97116.0,97136.0,95156.0,97192.0,94880.0,94912.0,96888.0,93220.0,96776.0,94788.0,94840.0,97180.0,96872.0,96752.0,97068.0,97504.0,96864.0,96820.0,96980.0,96856.0,96880.0,96896.0,96972.0,97040.0,97136.0,96868.0,96756.0,96908.0,96900.0,96884.0,96880.0,96920.0,96896.0,96924.0,96792.0,96856.0,96872.0,96952.0,96912.0,96872.0,96988.0,96864.0,96988.0,96744.0,96844.0,96848.0,96912.0,96532.0,96680.0,96828.0,97128.0,96820.0,97020.0,96980.0,96968.0,96820.0,96968.0,96968.0,96820.0,96852.0,97260.0,96968.0,97156.0,97252.0,97272.0,97252.0,96996.0,97092.0,97524.0,96992.0,96984.0,96972.0,97256.0,97240.0,97112.0,96860.0,96972.0,96976.0,97340.0,97364.0,97248.0,97256.0,97556.0,97540.0,97480.0,97248.0,97136.0,97364.0,97264.0
14,97260.0,92176.0,92280.0,92252.0,92316.0,92320.0,92308.0,92376.0,92332.0,92276.0,97288.0,97272.0,97160.0,97448.0,97148.0,96876.0,97184.0,97276.0,97288.0,97308.0,92316.0,97536.0,97540.0,97272.0,97152.0,97272.0,97136.0,97436.0,97552.0,97432.0,97284.0,92216.0,97180.0,97408.0,97264.0,97488.0,97400.0,97420.0,97156.0,97272.0,97268.0,97164.0,92296.0,97592.0,97164.0,97160.0,97280.0,97284.0,97260.0,97420.0,97168.0,97152.0,97168.0,95156.0,97204.0,94880.0,94940.0,96920.0,93212.0,96776.0,94820.0,94864.0,97204.0,96900.0,96796.0,97108.0,97528.0,96880.0,96860.0,97004.0,96876.0,96916.0,96936.0,96996.0,97080.0,97136.0,96904.0,96776.0,96920.0,96920.0,96904.0,96908.0,96944.0,96920.0,96944.0,96812.0,96876.0,96880.0,96976.0,96932.0,96892.0,97024.0,96884.0,96988.0,96776.0,96864.0,96880.0,96932.0,96564.0,96728.0,96864.0,97148.0,96864.0,97040.0,97020.0,96988.0,96856.0,97000.0,96992.0,96856.0,96892.0,97296.0,97000.0,97192.0,97272.0,97296.0,97272.0,97020.0,97112.0,97556.0,97016.0,97024.0,96992.0,97256.0,97260.0,97140.0,96880.0,96992.0,97016.0,97364.0,97384.0,97268.0,97276.0,97556.0,97564.0,97500.0,97280.0,97160.0,97408.0,97264.0
15,97260.0,92176.0,92308.0,92292.0,92336.0,92328.0,92308.0,92376.0,92332.0,92296.0,97304.0,97312.0,97180.0,97468.0,97148.0,96896.0,97184.0,97296.0,97304.0,97308.0,92332.0,97548.0,97540.0,97312.0,97176.0,97292.0,97152.0,97436.0,97572.0,97452.0,97296.0,92216.0,97196.0,97448.0,97284.0,97512.0,97420.0,97440.0,97156.0,97292.0,97292.0,97180.0,92296.0,97592.0,97180.0,97176.0,97280.0,97304.0,97284.0,97424.0,97188.0,97152.0,97184.0,95184.0,97240.0,94920.0,94968.0,96928.0,93224.0,96816.0,94832.0,94880.0,97220.0,96916.0,96816.0,97108.0,97544.0,96880.0,96856.0,97020.0,96916.0,96936.0,96936.0,97028.0,97072.0,97168.0,96928.0,96816.0,96936.0,96960.0,96904.0,96908.0,96960.0,96936.0,96964.0,96812.0,96892.0,96896.0,96988.0,96956.0,96912.0,97024.0,96904.0,97008.0,96784.0,96864.0,96904.0,96956.0,96572.0,96720.0,96884.0,97168.0,96900.0,97060.0,97024.0,97008.0,96876.0,97008.0,96992.0,96876.0,96904.0,97316.0,97040.0,97204.0,97292.0,97312.0,97272.0,97036.0,97152.0,97564.0,97032.0,97028.0,97032.0,97300.0,97300.0,97152.0,96920.0,97032.0,97020.0,97404.0,97384.0,97268.0,97316.0,97596.0,97584.0,97520.0,97288.0,97176.0,97408.0,97304.0
16,97300.0,92208.0,92308.0,92292.0,92360.0,92368.0,92328.0,92396.0,92352.0,92320.0,97320.0,97296.0,97200.0,97488.0,97184.0,96916.0,97224.0,97296.0,97320.0,97328.0,92356.0,97548.0,97560.0,97332.0,97196.0,97312.0,97172.0,97480.0,97592.0,97472.0,97316.0,92236.0,97216.0,97452.0,97304.0,97528.0,97420.0,97460.0,97200.0,97292.0,97312.0,97200.0,92340.0,97612.0,97200.0,97196.0,97280.0,97304.0,97304.0,97440.0,97188.0,97192.0,97200.0,95220.0,97256.0,94920.0,94984.0,96928.0,93244.0,96816.0,94832.0,94904.0,97240.0,96944.0,96836.0,97128.0,97584.0,96916.0,96880.0,97052.0,96916.0,96956.0,96956.0,97040.0,97112.0,97184.0,96928.0,96816.0,96936.0,96960.0,96944.0,96944.0,96960.0,96956.0,96964.0,96856.0,96912.0,96916.0,97008.0,96972.0,96912.0,97064.0,96904.0,97052.0,96804.0,96904.0,96924.0,96956.0,96596.0,96736.0,96904.0,97168.0,96896.0,97060.0,97024.0,97028.0,96896.0,97028.0,97008.0,96876.0,96924.0,97336.0,97028.0,97224.0,97312.0,97332.0,97312.0,97048.0,97132.0,97584.0,97052.0,97052.0,97016.0,97320.0,97300.0,97168.0,96924.0,97036.0,97044.0,97404.0,97424.0,97308.0,97300.0,97596.0,97600.0,97540.0,97308.0,97192.0,97448.0,97304.0
17,97300.0,92240.0,92332.0,92308.0,92392.0,92364.0,92360.0,92452.0,92376.0,92340.0,97348.0,97336.0,97224.0,97512.0,97184.0,96916.0,97248.0,97340.0,97340.0,97352.0,92384.0,97592.0,97560.0,97364.0,97196.0,97336.0,97188.0,97500.0,97592.0,97496.0,97316.0,92260.0,97240.0,97452.0,97304.0,97552.0,97464.0,97484.0,97224.0,97336.0,97312.0,97216.0,92340.0,97656.0,97216.0,97228.0,97324.0,97336.0,97328.0,97460.0,97232.0,97192.0,97228.0,95240.0,97280.0,94964.0,95008.0,96972.0,93268.0,96856.0,94876.0,94932.0,97256.0,96944.0,96836.0,97152.0,97580.0,96944.0,96900.0,97048.0,96940.0,96956.0,96980.0,97056.0,97124.0,97220.0,96972.0,96816.0,96976.0,96984.0,96944.0,96944.0,97004.0,96980.0,97008.0,96876.0,96928.0,96940.0,97028.0,96988.0,96956.0,97088.0,96948.0,97052.0,96804.0,96928.0,96940.0,97000.0,96616.0,96756.0,96928.0,97212.0,96928.0,97088.0,97068.0,97052.0,96896.0,97052.0,97028.0,96920.0,96964.0,97336.0,97072.0,97244.0,97312.0,97352.0,97336.0,97076.0,97172.0,97584.0,97072.0,97072.0,97060.0,97344.0,97324.0,97196.0,96948.0,97036.0,97060.0,97448.0,97448.0,97308.0,97344.0,97640.0,97624.0,97540.0,97332.0,97212.0,97472.0,97348.0
